x,y,G
25512597.20459999889,6687176.05109000020,1.36122648194
25512697.20459999889,6687176.05109000020,1.36156020613
25512797.20459999889,6687176.05109000020,1.36164302226
25513797.20459999889,6687176.05109000020,1.32113456719
25513897.20459999889,6687176.05109000020,1.32133889187
25513997.20459999889,6687176.05109000020,1.32154262062
25512697.20459999889,6687076.05109000020,1.36124161742
25512797.20459999889,6687076.05109000020,1.36143887419
25512897.20459999889,6687076.05109000020,1.36163957645
25512997.20459999889,6687076.05109000020,1.36173949710
25513497.20459999889,6687076.05109000020,1.32020235063
25513597.20459999889,6687076.05109000020,1.32040596000
25513697.20459999889,6687076.05109000020,1.32060956969
25513797.20459999889,6687076.05109000020,1.32083702094
25513897.20459999889,6687076.05109000020,1.32103133187
25513997.20459999889,6687076.05109000020,1.32122540469
25512597.20459999889,6686976.05109000020,1.36058389000
25512697.20459999889,6686976.05109000020,1.36091416871
25512797.20459999889,6686976.05109000020,1.36111400968
25512897.20459999889,6686976.05109000020,1.36131421968
25512997.20459999889,6686976.05109000020,1.36151430677
25513097.20459999889,6686976.05109000020,1.36162407161
25513197.20459999889,6686976.05109000020,1.36183117290
25513297.20459999889,6686976.05109000020,1.36204073516
25513397.20459999889,6686976.05109000020,1.31974124906
25513497.20459999889,6686976.05109000020,1.31993556031
25513597.20459999889,6686976.05109000020,1.32012915625
25513697.20459999889,6686976.05109000020,1.32032263281
25513797.20459999889,6686976.05109000020,1.32051622875
25513897.20459999889,6686976.05109000020,1.32070970531
25513997.20459999889,6686976.05109000020,1.32090318188
25512497.20459999889,6686876.05109000020,1.36007272032
25512597.20459999889,6686876.05109000020,1.36039967677
25512697.20459999889,6686876.05109000020,1.36059877935
25512797.20459999889,6686876.05109000020,1.36079886645
25512897.20459999889,6686876.05109000020,1.36100732129
25512997.20459999889,6686876.05109000020,1.36119867129
25513097.20459999889,6686876.05109000020,1.36139851226
25513197.20459999889,6686876.05109000020,1.36159835323
25513297.20459999889,6686876.05109000020,1.31924200063
25513397.20459999889,6686876.05109000020,1.31943547719
25513497.20459999889,6686876.05109000020,1.31962895406
25513597.20459999889,6686876.05109000020,1.31982243062
25513697.20459999889,6686876.05109000020,1.32001590719
25512497.20459999889,6686776.05109000020,1.35990499677
25512597.20459999889,6686776.05109000020,1.36010299194
25512697.20459999889,6686776.05109000020,1.36030307903
25512797.20459999889,6686776.05109000020,1.36049898194
25512897.20459999889,6686776.05109000020,1.36070768290
25512997.20459999889,6686776.05109000020,1.36090247871
25513097.20459999889,6686776.05109000020,1.31856286531
25513197.20459999889,6686776.05109000020,1.31876504406
25513297.20459999889,6686776.05109000020,1.31895363344
25513397.20459999889,6686776.05109000020,1.31914210312
25513497.20459999889,6686776.05109000020,1.31934416281
25513597.20459999889,6686776.05109000020,1.31953668594
25512397.20459999889,6686676.05109000020,1.35942102258
25512497.20459999889,6686676.05109000020,1.35961754097
25512597.20459999889,6686676.05109000020,1.35981701258
25512697.20459999889,6686676.05109000020,1.36002485226
25512797.20459999889,6686676.05109000020,1.36021903258
25512897.20459999889,6686676.05109000020,1.36042711806
25512997.20459999889,6686676.05109000020,1.36062117548
25513097.20459999889,6686676.05109000020,1.36081510968
25513197.20459999889,6686676.05109000020,1.31849122062
25513297.20459999889,6686676.05109000020,1.31867909437
25513397.20459999889,6686676.05109000020,1.31888055813
25513497.20459999889,6686676.05109000020,1.31906831250
25513597.20459999889,6686676.05109000020,1.31925392156
25512297.20459999889,6686576.05109000020,1.35893840161
25512397.20459999889,6686576.05109000020,1.35913319742
25512497.20459999889,6686576.05109000020,1.35933217710
25512597.20459999889,6686576.05109000020,1.35952648032
25512697.20459999889,6686576.05109000020,1.35973407387
25512797.20459999889,6686576.05109000020,1.35992751581
25512897.20459999889,6686576.05109000020,1.36013510935
25512997.20459999889,6686576.05109000020,1.36032855129
25513097.20459999889,6686576.05109000020,1.36052199323
25513197.20459999889,6686576.05109000020,1.36072946355
25513297.20459999889,6686576.05109000020,1.36092278258
25513397.20459999889,6686576.05109000020,1.36113013000
25513497.20459999889,6686576.05109000020,1.31878209125
25513597.20459999889,6686576.05109000020,1.31897127625
25513697.20459999889,6686576.05109000020,1.31913542750
25512097.20459999889,6686476.05109000020,1.35825753968
25512197.20459999889,6686476.05109000020,1.35845098194
25512297.20459999889,6686476.05109000020,1.35864996129
25512397.20459999889,6686476.05109000020,1.35884844871
25512497.20459999889,6686476.05109000020,1.35905358097
25512597.20459999889,6686476.05109000020,1.35924665387
25512697.20459999889,6686476.05109000020,1.35944329548
25512797.20459999889,6686476.05109000020,1.35963624516
25512897.20459999889,6686476.05109000020,1.35984322323
25512997.20459999889,6686476.05109000020,1.36003605000
25513097.20459999889,6686476.05109000020,1.36022887677
25513197.20459999889,6686476.05109000020,1.36043573194
25513297.20459999889,6686476.05109000020,1.36062843581
25513397.20459999889,6686476.05109000020,1.36083529065
25513497.20459999889,6686476.05109000020,1.36102799452
25513597.20459999889,6686476.05109000020,1.31868863094
25513697.20459999889,6686476.05109000020,1.31888043875
25513797.20459999889,6686476.05109000020,1.31905186187
25511797.20459999889,6686376.05109000020,1.35737536032
25511897.20459999889,6686376.05109000020,1.35756314194
25511997.20459999889,6686376.05109000020,1.35776507484
25512097.20459999889,6686376.05109000020,1.35796688452
25512197.20459999889,6686376.05109000020,1.35816746387
25512297.20459999889,6686376.05109000020,1.35836508968
25512397.20459999889,6686376.05109000020,1.35857157548
25512497.20459999889,6686376.05109000020,1.35876403323
25512597.20459999889,6686376.05109000020,1.35895649065
25512697.20459999889,6686376.05109000020,1.35916285355
25512797.20459999889,6686376.05109000020,1.35935518806
25512897.20459999889,6686376.05109000020,1.35956155097
25512997.20459999889,6686376.05109000020,1.35975388548
25513097.20459999889,6686376.05109000020,1.35994609710
25513197.20459999889,6686376.05109000020,1.36015246000
25513297.20459999889,6686376.05109000020,1.36034454839
25513397.20459999889,6686376.05109000020,1.36055078806
25513497.20459999889,6686376.05109000020,1.36074287645
25513597.20459999889,6686376.05109000020,1.31840562813
25513697.20459999889,6686376.05109000020,1.31859719750
25513797.20459999889,6686376.05109000020,1.31878840937
25501097.20459999889,6686276.05109000020,1.29251647000
25511497.20459999889,6686276.05109000020,1.31410992156
25511597.20459999889,6686276.05109000020,1.35667813194
25511697.20459999889,6686276.05109000020,1.35687944968
25511797.20459999889,6686276.05109000020,1.35708064419
25511897.20459999889,6686276.05109000020,1.35728183871
25511997.20459999889,6686276.05109000020,1.35747983387
25512097.20459999889,6686276.05109000020,1.35767573710
25512197.20459999889,6686276.05109000020,1.35788431484
25512297.20459999889,6686276.05109000020,1.35807677226
25512397.20459999889,6686276.05109000020,1.35828264290
25512497.20459999889,6686276.05109000020,1.35847448548
25512597.20459999889,6686276.05109000020,1.35866632774
25512697.20459999889,6686276.05109000020,1.35887219839
25512797.20459999889,6686276.05109000020,1.35906391774
25512897.20459999889,6686276.05109000020,1.35926978806
25512997.20459999889,6686276.05109000020,1.35946138452
25513097.20459999889,6686276.05109000020,1.35965310387
25513197.20459999889,6686276.05109000020,1.35985885129
25513297.20459999889,6686276.05109000020,1.36005032452
25513397.20459999889,6686276.05109000020,1.36025607194
25513497.20459999889,6686276.05109000020,1.31793355937
25513597.20459999889,6686276.05109000020,1.31811893000
25513697.20459999889,6686276.05109000020,1.31831812844
25513797.20459999889,6686276.05109000020,1.31850469125
25513897.20459999889,6686276.05109000020,1.31868278969
25500797.20459999889,6686176.05109000020,1.29168236250
25500897.20459999889,6686176.05109000020,1.29185581219
25500997.20459999889,6686176.05109000020,1.29206991188
25501097.20459999889,6686176.05109000020,1.29228389250
25501197.20459999889,6686176.05109000020,1.29249787344
25511197.20459999889,6686176.05109000020,1.31332469000
25511297.20459999889,6686176.05109000020,1.31344580656
25511397.20459999889,6686176.05109000020,1.31362307063
25511497.20459999889,6686176.05109000020,1.35619858774
25511597.20459999889,6686176.05109000020,1.35639916710
25511697.20459999889,6686176.05109000020,1.35660454548
25511797.20459999889,6686176.05109000020,1.35679983323
25511897.20459999889,6686176.05109000020,1.35700878032
25511997.20459999889,6686176.05109000020,1.35720382194
25512097.20459999889,6686176.05109000020,1.35739898677
25512197.20459999889,6686176.05109000020,1.35760682613
25512297.20459999889,6686176.05109000020,1.35779879161
25512397.20459999889,6686176.05109000020,1.35800404710
25512497.20459999889,6686176.05109000020,1.35819527419
25512597.20459999889,6686176.05109000020,1.35838662419
25512697.20459999889,6686176.05109000020,1.35859187968
25512797.20459999889,6686176.05109000020,1.35878298355
25512897.20459999889,6686176.05109000020,1.35898823903
25512997.20459999889,6686176.05109000020,1.35917934290
25513097.20459999889,6686176.05109000020,1.35937032387
25513197.20459999889,6686176.05109000020,1.35957545613
25513297.20459999889,6686176.05109000020,1.35976643710
25513397.20459999889,6686176.05109000020,1.35997156935
25513497.20459999889,6686176.05109000020,1.31765735156
25513597.20459999889,6686176.05109000020,1.31784093375
25513697.20459999889,6686176.05109000020,1.31803095344
25513797.20459999889,6686176.05109000020,1.31822097313
25500497.20459999889,6686076.05109000020,1.29083263875
25500597.20459999889,6686076.05109000020,1.29100084312
25500697.20459999889,6686076.05109000020,1.29122018813
25500797.20459999889,6686076.05109000020,1.29144382469
25500897.20459999889,6686076.05109000020,1.29165744781
25500997.20459999889,6686076.05109000020,1.29187500469
25501097.20459999889,6686076.05109000020,1.29208481313
25501197.20459999889,6686076.05109000020,1.29229772094
25501297.20459999889,6686076.05109000020,1.29251110563
25501397.20459999889,6686076.05109000020,1.29272437094
25511297.20459999889,6686076.05109000020,1.31322336187
25511397.20459999889,6686076.05109000020,1.31335425375
25511497.20459999889,6686076.05109000020,1.35591777677
25511597.20459999889,6686076.05109000020,1.35612598548
25511697.20459999889,6686076.05109000020,1.35632053484
25511797.20459999889,6686076.05109000020,1.35651496161
25511897.20459999889,6686076.05109000020,1.35672317000
25511997.20459999889,6686076.05109000020,1.35691747355
25512097.20459999889,6686076.05109000020,1.35711190000
25512197.20459999889,6686076.05109000020,1.35731912419
25512297.20459999889,6686076.05109000020,1.35751047452
25512397.20459999889,6686076.05109000020,1.35771511452
25512497.20459999889,6686076.05109000020,1.35790584935
25512597.20459999889,6686076.05109000020,1.35809658419
25512697.20459999889,6686076.05109000020,1.35830122419
25512797.20459999889,6686076.05109000020,1.35849183613
25512897.20459999889,6686076.05109000020,1.35869647613
25512997.20459999889,6686076.05109000020,1.35888696484
25513097.20459999889,6686076.05109000020,1.35907745355
25513197.20459999889,6686076.05109000020,1.35928197065
