XCOORD;YCOORD;GEOLAT;GEOLON;UNIT;UNITAREA;U;TH;RHO;K;PVEL;METAM;SIO2;FE2O3;POR;XEUREF;YEUREF
7723150;3586500;69.57395123;29.21595491;85;3786.1;6.05;58.7;2624;5.0713;#N/A;0;72.3;1.39;#N/A;586126.8201;7719996.643
6658600;3267760;59.97377994;22.8364443;14;13371;5.37;61.1;2642;4.7061;5470;0;73.1;2.0785611;0.45;267505.3609;6655827.342
7420230;3471620;66.87082065;26.34886879;39;24592;7.03;57.4;2578;4.0587;2670;0;76;0.86;2.05;471285.0828;7417185.668
6911230;3681070;62.26289092;30.48363107;68;1730.9;14.5;31.3;2616;1.8177;5880;1;74.4;0.74414287;4.47;680663.1907;6908370.603
6710810;3114970;60.32472054;20.01956032;9;3089.7;11.2;40;2593;4.482;5340;1;76.2;1.5206789;0.67;114770.1294;6708016.673
7125503;3392126;64.21192973;24.77469183;15;44421.3;18.1;11.7;2728;3.1208;6050;1;64;6.35;0.31;391820.0923;7122561.998
6745630;3373220;60.80030373;24.66804803;14;13371;18.1;12.6;2750;1.6683;5260;1;63.1;4.8049854;1.06;372926.4615;6742826.324
7025996;3594940;63.32370546;28.89136809;76;55413.3;4.58;64;2646;3.2038;#N/A;3;72.9;1.39;0.88;594562.7936;7023093.556
7696770;3563350;69.34408496;28.60431481;12;940.7;7.64;51.6;2612;4.5567;4750;0;73.5;2.2225307;1.03;562984.6488;7693626.483
7050990;3572060;63.55318068;28.44619076;76;55413.3;17.3;18;2620;2.6394;5270;3;74.4;0.55;0.81;571690.6449;7048078.257
6731720;3502930;60.69571174;27.05053407;8;9523.8;9.49;43.3;2630;4.7725;4910;1;74.7;1.7816238;0.46;502589.8768;6728923.891
7713600;3583620;69.48932379;29.13354317;85;3786.1;7.47;51.1;2630;4.4903;#N/A;0;73;1.85;#N/A;583247.6387;7710450.058
7508620;3400680;67.64783597;24.65613384;39;24592;12.1;33.5;2627;4.2164;5240;0;74.5;1.16;0.76;400370.193;7505544.973
7355030;3506600;66.28742206;27.14316913;76;55413.3;14.7;28.3;2610;0.9711;#N/A;3;76.3;0.39;1.02;506252.4425;7352008.659
6800850;3249520;61.23567626;22.33018201;9;3089.7;7.15;49.9;2639;4.6812;5160;1;75.4;1.9345915;0.49;249270.3308;6798024.647
7094030;3557240;63.94189544;28.16390202;53;9371.4;20.4;6.06;2597;1.6185;#N/A;0;58.5;4.02;#N/A;556875.297;7091102.454
7433460;3438930;66.98460184;25.59678895;39;24592;2.72;67;2611;4.7974;4200;0;73.5;1.32;1.02;438606.7029;7430411.099
7539400;3500700;67.94068433;27.01258772;12;940.7;12.6;32.3;2614;3.1789;5020;1;76;0.41931146;0.69;500355.456;7536313.753
7551250;3485100;68.04653405;26.63888161;12;940.7;8.6;46.7;2604;3.7184;4300;0;76.2;0.9178062;0.95;484761.0898;7548159.604
7529830;3470270;67.8533426;26.28948729;12;940.7;9.74;42.6;2594;3.6852;4050;0;75.6;0.66675921;1.28;469936.1761;7526747.278
7719150;3565030;69.54421894;28.66239273;12;940.7;10.6;36;2693;3.7267;#N/A;0;70.5;2.36;#N/A;564664.3539;7715998.337
6652680;3271220;59.92271771;22.9047965;14;13371;11;34.7;2636;4.7393;5350;0;73.3;1.5116808;0.28;270964.1695;6649909.56
6693780;3445890;60.35157525;26.01678131;14;13371;13.4;26;2607;4.7559;4590;0;74.2;1.3677112;0.61;445570.8897;6690996.683
