XCOORD;YCOORD;GEOLAT;GEOLON;UNIT;UNITAREA;U;TH;RHO;K;PVEL;METAM;SIO2;FE2O3;POR;XEUREF;YEUREF
7364410;3513650;66.37131319;27.30121223;39;24592;2.72;11.6;2586;3.9923;3590;0;74.3;0.33;1.07;513299.9257;7361385.326
6785650;3456930;61.17732078;26.19635677;15;44421.3;3.37;10.7;2665;2.2825;5080;1;68.8;2.1685421;0.44;456605.6959;6782833.419
6717510;3313460;60.5248598;23.59893891;14;13371;3.66;6.45;2599;5.1045;4950;0;75.1;0.56418087;0.41;313188.3084;6714716.042
6892050;3503250;62.13446524;27.05902724;28;22880.6;2.1;13.2;2843;2.6975;5170;3;58.6;10.617758;0.91;502907.56;6889195.2
6697190;3282340;60.3272992;23.05566891;15;44421.3;3.64;9.6;2780;1.5438;5500;0;62.9;5.2009018;0.55;282079.7654;6694403.305
6856270;3657540;61.78103669;29.98268618;20;4130.1;1.85;13.6;2783;3.4777;5260;3;57.6;6.6855883;0.96;657142.4495;6853430.487
6873330;3277700;61.90137939;22.76578512;23;1768.2;2.36;12.8;2588;4.067;3970;1;75.9;1.529677;1.2;277438.877;6870478.728
6824480;3367680;61.50545318;24.51130293;28;22880.6;2.51;12.8;2699;2.8303;5830;3;69.8;3.3562913;0.45;367387.4661;6821647.794
6994870;3437300;63.05153815;25.75702312;15;44421.3;2.75;11.5;2662;3.3947;5670;1;70.1;2.72;0.54;436979.677;6991976.729
6743900;3441210;60.80066095;25.91707239;15;44421.3;2.67;11.8;2812;2.3572;5950;0;58.1;6.4426396;0.24;440891.7548;6741098.147
7633760;3483150;68.78612901;26.57865428;77;11958.7;0.927;18.9;2698;2.6726;4070;4;60;8.3052463;0.75;482812.6059;7630639.963
7072171;3305298;63.69652666;23.05823629;28;22880.6;2.64;13.1;2731;2.0169;5940;3;69.8;4.75;0.46;305024.0234;7069248.139
7066321;3387828;63.68008942;24.72963656;27;1792.8;3.92;8.66;2746;1.6683;6360;1;64.6;4.16;0.37;387524.5775;7063401.352
6960130;3206770;62.62840805;21.27696832;28;22880.6;1.75;16.3;2768;1.826;5920;3;68.6;5.7047954;0.29;206532.8732;6957246.125
6912210;3349750;62.28512552;24.10147393;27;1792.8;3.37;9.13;2664;3.3947;5820;1;66.3;2.519468;0.45;349462.6045;6909345.725
6895750;3387140;62.15070045;24.83185876;26;1315.8;3.03;9.37;2736;3.6354;6200;0;63.7;4.7060063;0.23;386839.4763;6892892.307
6844640;3260070;61.63403749;22.46942815;28;22880.6;2.84;10.6;2721;3.3366;5840;3;65.6;4.4540595;0.38;259815.6924;6841798.857
6679430;3199340;60.1156692;21.5858655;18;15883.8;2.83;11.3;2760;2.5813;5820;3;56.5;7.5044154;0.52;199110.157;6676649.104
6838370;3633150;61.62982627;29.507922;19;2296.7;3.09;10.9;2709;2.5066;5330;3;64.7;3.7162153;0.48;632761.618;6835536.695
6816670;3342790;61.42613773;24.05107273;28;22880.6;2.52;11.9;2812;2.6311;5730;3;65.2;5.6148144;0.57;342506.4056;6813840.208
6699630;3342380;60.37696016;24.13903633;18;15883.8;2.03;14.6;2784;2.1663;5710;0;60.3;5.6328106;0.64;342098.0412;6696842.997
7144020;3518000;64.39451981;27.36955531;39;24592;1.15;15.9;2602;4.9053;4900;0;74.9;0.77;0.76;517648.8752;7141074.016
7481760;3473130;67.42264651;26.36906435;60;14280.3;3.14;11.1;2775;1.7513;6210;0;59.9;7.6033945;0.75;472794.6591;7478694.04
6967480;3400180;62.79760545;25.04007196;26;1315.8;2.91;11;2656;3.2785;5800;1;70;2.9873692;0.57;399873.628;6964596.18
7349180;3355650;66.20180121;23.79051404;45;1560.4;3.63;8.48;2681;2.9714;5380;0;67.4;3.58;0.58;355355.6377;7346160.511
6896900;3321270;62.13548022;23.56937415;26;1315.8;3.3;9.66;2695;2.8884;6080;0;72.8;3.0863483;0.8;320992.9633;6894040.792
6706730;3173680;60.33976201;21.08286932;14;13371;1.04;15.6;2625;5.2041;5640;1;73.5;1.0437796;0.3;173459.1407;6703938.781
6838050;3357490;61.62346651;24.30961217;27;1792.8;2.85;9.62;2732;3.8761;6250;0;59.5;5.3268752;0.35;357200.8944;6835212.806
6825660;3300980;61.48744344;23.25976243;26;1315.8;2.92;10.2;2687;3.569;4950;3;76.7;2.1325497;1;300711.1917;6822826.425
7575520;3502910;68.26450896;27.06622536;77;11958.7;0.935;15.1;3022;3.2785;4060;4;57;8.548195;1.27;502565.1127;7572420.783
6896100;3235890;62.07818584;21.93966949;15;44421.3;3.26;10;2676;2.8552;5690;1;69.2;2.9063863;0.39;235643.5169;6893239.801
6880600;3429850;62.0252018;25.65678915;15;44421.3;3.2;10.3;2740;2.3489;5200;1;65.3;4.6610158;0.51;429534.3653;6877748.356
6911680;3281210;62.24660277;22.78499362;15;44421.3;2.99;10.7;2675;3.0793;5780;1;70.5;2.9783711;0.33;280947.0535;6908814.734
6891920;3356400;62.10589409;24.24605066;26;1315.8;2.86;10.9;2661;3.3781;5820;0;69.2;3.059354;0.42;356110.5443;6889063.267
6815620;3597860;61.43635831;28.83080402;18;15883.8;2.25;12.3;2711;3.652;6160;3;60.2;5.6598049;0.71;597484.6895;6812794.593
7319170;3484240;65.96550185;26.64956929;76;55413.3;2.16;14.7;2607;2.8801;3650;3;73.4;1.42;1.37;483900.3554;7316161.447
6763080;3272740;60.91182831;22.80636329;15;44421.3;3.56;8.79;2838;1.8011;5330;0;58;7.9993109;0.26;272482.4202;6760268.757
6877320;3379850;61.98320506;24.70466208;28;22880.6;2.59;12.6;2701;2.5647;5800;3;69.1;4.2920937;0.59;379552.3277;6874468.914
6740730;3322580;60.73704398;23.74381278;18;15883.8;3.3;10.7;2688;2.1082;5180;3;70;3.5362533;0.46;322304.8165;6737927.55
6898550;3443470;62.1885207;25.91112504;15;44421.3;2.35;12.5;2681;3.4196;5200;1;68.3;3.6802229;0.38;443149.1771;6895691.984
7526500;3570850;67.81643494;28.67687838;76;55413.3;2.77;11.7;2587;3.5109;3880;0;75;0.76213907;1.72;570480.6838;7523417.708
7367280;3401100;66.38160033;24.78449049;53;9371.4;2.85;9.23;2820;3.4777;5970;3;56.1;10.1;0.33;400789.6777;7364254.311
6725590;3431340;60.63479041;25.74227681;18;15883.8;2.11;13.2;2737;3.1291;5820;3;65.8;5.2278961;0.82;431025.6226;6722794.667
6952000;3503140;62.67236256;27.05794031;15;44421.3;2.42;12.5;2802;2.3489;5400;0;58.4;8.7911437;0.82;502796.7409;6949123.321
6862750;3487500;61.87135902;26.75920531;23;1768.2;2.43;11.2;2733;3.735;5490;1;62.4;6.838556;0.49;487163.7682;6859905.712
7118350;3467860;64.16320766;26.33576397;35;6197.2;2.3;11.3;2864;3.154;6120;3;58.4;9.44;0.49;467527.2191;7115412.463
6949550;3462070;62.64842171;26.25700927;24;16584.2;2.92;8.62;2756;4.1251;5620;1;61.5;6.1636985;0.45;461741.6196;6946673.663
7403000;3420590;66.7073411;25.19699019;39;24592;0.88;17.9;2605;3.9425;#N/A;0;71.8;2.11;1.83;420272.9888;7399961.734
6793450;3427030;61.24285836;25.63777265;14;13371;5.08;4.01;2628;2.4983;4860;1;75;0.30233616;0.59;426716.4674;6790629.879
7220340;3478800;65.07884716;26.54561501;53;9371.4;2.53;11.5;2789;2.8469;5850;2;60.6;8.15;1.5;478462.5197;7217366.429
6932590;3660160;62.46377198;30.10141236;53;9371.4;2.47;14.1;2670;1.909;5390;0;77;2.2585231;0.8;659760.5708;6929722.539
7061850;3513650;63.65763228;27.2721214;44;340.8;2.8;11.9;2622;2.9714;5800;0;74.1;1.54;0.94;513301.4084;7058933.722
6952700;3522280;62.6779925;27.43155962;35;6197.2;2.83;11;2744;2.6892;5850;3;66.3;5.8217707;0.35;521929.8364;6949823.34
7024130;3440670;63.31455542;25.8129321;26;1315.8;2.76;11.3;2668;3.1706;6010;0;69.9;2.83;0.67;440348.0526;7021226.164
7061474;3363329;63.62800419;24.23939287;24;16584.2;2.88;10.2;2639;3.8595;5930;1;75;1.41;0.28;363034.4787;7058555.826
6795100;3335230;61.22971249;23.92865018;28;22880.6;2.73;10.7;2758;3.071;5910;3;64.1;5.3178771;0.59;334949.4328;6792277.862
6687830;3317260;60.26067056;23.69511397;18;15883.8;2.88;11;2750;2.49;6270;3;63.4;6.6226016;0.15;316987.1737;6685047.152
7663320;3483800;69.0511587;26.58985961;77;11958.7;1.08;16;2815;3.3034;#N/A;4;64.9;6.3436605;#N/A;483462.6435;7660189.401
7027670;3373580;63.32886524;24.47284271;26;1315.8;2.81;11.8;2718;2.2991;5390;0;71.7;2.84;0.55;373282.313;7024764.15
6971450;3281100;62.78133351;22.70649905;28;22880.6;3.17;11.2;2678;2.0335;4170;3;73.4;3.8871792;1.35;280836.2684;6968563.088
6690870;3230450;60.23965145;22.1281085;14;13371;2.98;8.47;2616;5.0049;5570;1;74.7;0.9178062;0.44;230208.7146;6688085.157
6680020;3239070;60.14821195;22.29712051;18;15883.8;2.46;13.6;2700;2.0501;5830;3;72.8;3.239316;0.28;238825.6464;6677239.249
7683900;3509060;69.2359909;27.22456452;83;1161.5;1.23;14.5;2824;3.9176;5630;3;67.1;5.5518277;0.23;508713.8961;7680761.724
6802650;3245470;61.24915913;22.25259779;28;22880.6;2.57;12.5;2720;2.407;5740;3;70.7;4.2471032;0.25;245221.7517;6799823.946
6976120;3374620;62.86718371;24.533083;24;16584.2;2.55;11.9;2617;3.6354;5690;1;72.8;2.069563;0.73;374322.7814;6973232.694
6843070;3604350;61.6808485;28.96788152;18;15883.8;1.83;14;2704;3.4362;5970;3;62.2;6.478632;0.48;603972.1938;6840234.408
7517410;3478410;67.74271373;26.48534467;60;14280.3;2.67;11.9;2848;1.7347;#N/A;3;57.8;7.9093299;#N/A;478073.1756;7514331.586
6978110;3631160;62.8831264;29.57519562;53;9371.4;3.34;8.67;2805;2.5481;5910;3;61.3;7.5044154;0.19;630770.4376;6975225.518
6825280;3633630;61.51230998;29.50746897;18;15883.8;3.51;10.9;2675;1.3197;6070;0;70.1;2.6724357;0.24;633241.5518;6822451.528
7026322;3335014;63.30108708;23.70567726;28;22880.6;2.81;11.4;2710;2.6145;5660;3;68.1;4.91;0.98;334730.2361;7023416.161
6838200;3382910;61.63339614;24.78836993;25;2327.6;2.68;10.1;2801;3.3034;5840;3;61.8;5.6058163;0.68;382611.8377;6835363.091
7615300;3376500;68.59380864;23.96387682;60;14280.3;4.52;6.95;2642;1.66;4610;3;70.6;1.26;0.7;376199.2976;7612188.173
7028850;3447760;63.35800024;25.95280969;35;6197.2;2.4;12.7;2664;3.071;6020;0;72.2;2.14;0.41;447435.4164;7025944.547
6723140;3371510;60.59808556;24.65143101;20;4130.1;3.78;7.9;2910;1.2201;6350;1;56.2;8.548195;0.15;371217.3125;6720344.644
6877550;3613220;61.98751902;29.15689552;47;7951.5;2.2;13.5;2744;2.4734;5270;3;65.3;9.268043;1.07;612838.2524;6874702.043
6857860;3496960;61.82767817;26.93907471;28;22880.6;2.9;11.6;2727;2.0667;5960;3;67.6;4.5170462;0.35;496620.4039;6855017.641
7407200;3520780;66.75462406;27.4677235;39;24592;1.51;16;2628;3.3283;4670;0;74.5;1.37;0.97;520427.5319;7404160.142
6691030;3182370;60.20645533;21.26409969;15;44421.3;2.36;12.5;2687;3.154;6030;1;67.9;2.9153844;0.28;182146.1837;6688244.702
6717380;3399270;60.55435539;25.16075641;18;15883.8;3.11;9.34;2837;2.407;5690;3;58.8;8.3592349;0.32;398967.3484;6714587.147
6997300;3527880;63.07773908;27.54827367;57;3353.3;1.87;13.3;2645;4.1749;5420;0;80.6;0.71;0.98;527527.2309;6994407.233
6797480;3563450;61.28074545;28.1799909;14;13371;4.02;7.83;2717;1.8094;5510;1;66.6;3.3922837;0.43;563087.258;6794660.631
7019750;3498120;63.28020024;26.95911972;35;6197.2;2.86;10.2;2783;2.7971;5820;3;59.7;6.61;0.3;497777.5068;7016848.615
7332870;3558730;66.08334099;28.29397104;57;3353.3;2.97;8.3;2818;3.6437;5650;3;56.7;7.38;0.47;558364.1836;7329856.551
7319460;3371230;65.94237673;24.16577507;53;9371.4;3.1;8.92;2699;3.6105;#N/A;3;61.3;7.55;2.18;370930.2529;7316451.016
6860910;3362900;61.83035331;24.3942379;15;44421.3;3.37;8.83;2760;2.5066;5900;1;61;5.3718657;0.32;362608.6144;6858064.647
6994571;3268701;62.98050175;22.43228273;28;22880.6;2.14;13.6;2790;2.1663;6060;3;69;5.85;0.2;268441.2798;6991675.613
6837130;3564080;61.63637036;28.20539396;18;15883.8;1.71;13.1;2790;3.7101;6070;3;61.5;6.478632;0.46;563716.5615;6834296.058
7022165;3277893;63.23306636;22.57557168;28;22880.6;2.66;10.4;2677;3.8512;5270;0;72;2.64;0.79;277629.6049;7019259.815
6933030;3708270;62.44390546;31.03212935;74;2743.7;2.76;11.6;2687;2.6062;5160;0;62.5;4.2740975;1.78;707852.9343;6930163.26
7014355;3606769;63.21601786;29.1195936;76;55413.3;2.89;11.6;2637;2.5979;#N/A;3;70.7;1.79;0.99;606387.7089;7011456.897
6779170;3397380;61.10810914;25.09360582;18;15883.8;3;11.6;2568;2.8054;#N/A;3;58.3;6.8115617;19;397077.3779;6776354.47
6810480;3301490;61.35177143;23.28552717;28;22880.6;2.7;10.6;2808;2.6892;6070;3;66.6;4.4000709;0.41;301221.2845;6807651.837
7401800;3363200;66.67637229;23.89996659;39;24592;1.42;15.3;2630;3.9425;5430;0;71.4;1.6;0.58;362902.8017;7398762.154
6973470;3555600;62.86080104;28.0887076;76;55413.3;0.429;18.1;2689;4.1749;5040;3;65.3;3.329297;0.58;555237.6201;6970586.261
7371240;3581780;66.42215247;28.82780053;39;24592;3.93;8.91;2596;2.0252;4790;0;80.8;0.26;0.94;581406.0944;7368212.804
7076000;3563350;63.77914333;28.2811025;76;55413.3;1.8;15.8;2673;2.2244;5840;0;70.8;2.47;0.53;562983.3705;7073079.063
7012674;3299854;63.16102992;23.02306089;28;22880.6;1.32;15.9;2755;2.905;5510;0;65.9;5.42;0.35;299582.9838;7009772.549
6834410;3584260;61.6080925;28.58460813;18;15883.8;1.87;13.7;2727;3.2038;5250;3;62.3;5.4618467;0.85;583889.4358;6831577.393
7111432;3338011;64.06470976;23.67715138;28;22880.6;2.91;11.3;2728;2.1165;6220;3;70.3;4.56;0.29;337724.6931;7108495.456
6844940;3363410;61.68737952;24.41594806;15;44421.3;2.57;11.7;2685;3.0461;5910;1;66.9;3.3832856;0.69;363118.6726;6842100.413
6796100;3441970;61.26914574;25.91514294;18;15883.8;1.8;14.4;2770;2.5896;5750;3;60.8;7.1444914;0.62;441651.0237;6793279.304
6963680;3297020;62.72095599;23.02695458;28;22880.6;2.74;11.6;2695;2.5813;4380;3;70.9;3.8421887;0.73;296750.6765;6960796.119
6963210;3443190;62.76852091;25.8842972;15;44421.3;2.98;8.29;2788;3.735;4760;1;61.2;7.6753793;0.55;442868.168;6960328.39
7089730;3345281;63.87365356;23.84781031;28;22880.6;2.7;11.1;2726;2.8303;6140;3;70.1;4.23;0.29;344992.4277;7086801.335
6995655;3204811;62.94394693;21.17651627;28;22880.6;3.23;9.86;2742;2.1829;5320;3;66.9;5.42;0.41;204573.8399;6992758.341
7433960;3502910;66.99526174;27.06274362;60;14280.3;2.33;12.5;2627;3.5026;5180;2;63.3;3.83;2.78;502563.9184;7430910.733
7109317;3421769;64.07481961;25.39328308;27;1792.8;4.12;4.98;2944;2.0833;6750;0;53.8;8.88;0.26;421452.8029;7106382.194
7666350;3274300;68.98555896;21.35154127;76;55413.3;1.1;19.1;2693;1.5438;5180;3;67.8;4.31;0.78;274034.4839;7663221.322
6669860;3306070;60.0945027;23.51049697;18;15883.8;3.28;10.9;2724;1.3944;5780;3;71.9;4.2561013;0.06;305801.3666;6667083.671
6945000;3432600;62.60338486;25.68428074;24;16584.2;2.87;9.34;2626;4.3243;4600;1;75.3;2.0785611;0.81;432282.33;6942124.93
6703320;3341640;60.40974755;24.12271922;18;15883.8;1.72;14;2712;3.4362;5650;0;63.9;4.9849474;0.52;341358.2843;6700531.616
7078398;3297258;63.74770763;22.88800614;24;16584.2;2.48;13.2;2655;2.3323;5540;1;71.1;1.94;0.59;296986.7525;7075472.793
7158420;3437770;64.5184152;25.70051117;24;16584.2;1.59;13.4;2658;4.5982;3860;0;68.4;3.47;0.84;437447.4955;7155467.724
7440020;3556550;67.04435138;28.29490554;39;24592;3.84;6.37;2615;3.9176;3600;0;74.1;0.49;1.01;556185.1545;7436968.307
7370300;3402350;66.40905714;24.81005402;53;9371.4;2.86;8.92;2815;3.3615;5700;3;58.3;9.31;0.81;402039.2341;7367273.252
6952650;3436250;62.67265505;25.75245007;15;44421.3;2.99;8.16;2785;3.7516;#N/A;1;59.6;7.2254743;#N/A;435930.8724;6949772.17
6960420;3498320;62.74791396;26.96377959;15;44421.3;3.03;9.54;2805;2.4983;4560;1;60.4;8.1612767;0.4;497978.3185;6957540.171
7457250;3423740;67.19437066;25.23345378;39;24592;1.29;15.9;2606;3.9342;#N/A;0;74.8;1.28;1.39;423421.892;7454192.833
6738410;3346330;60.72610712;24.18043814;18;15883.8;1.8;14.9;2734;2.3738;5860;3;60.3;6.5956073;0.41;346046.3016;6735608.638
7357420;3383850;66.2873147;24.40831667;57;3353.3;2.59;12.7;2655;2.3738;5620;2;76.7;2.86;0.79;383545.7298;7354397.703
6961110;3516030;62.75376796;27.31035262;35;6197.2;2.05;13.3;2761;2.6809;5920;3;61.1;7.3064572;0.16;515681.9484;6958230.202
7015217;3226198;63.13538349;21.56330537;28;22880.6;1.32;16;2740;2.822;5760;0;66.6;5.21;0.41;225953.037;7012313.665
6712690;3225000;60.4311049;22.00026822;18;15883.8;2.08;11.9;2721;3.8761;5850;0;63.6;5.3268752;0.41;224760.4964;6709896.884
6928690;3390420;62.44702518;24.87396713;26;1315.8;3.07;9.53;2714;2.9548;5850;1;65;4.2471032;0.71;390117.7249;6925820.305
7450550;3551560;67.13964134;28.18493138;65;1173.7;2.18;11.7;2688;3.9674;5390;3;72.7;5;1.18;551196.9327;7447494.657
7046070;3519600;63.51579728;27.39030772;41;1291.9;3.73;7.26;2824;2.0999;5830;0;55.1;7.61;0.53;519249.5628;7043159.462
7205680;3449330;64.94416944;25.92447688;53;9371.4;2.38;10.4;2748;3.9591;4760;2;61.6;6.78;0.37;449003.143;7202711.326
7004930;3521300;63.14663331;27.41906272;44;340.8;3.57;8.54;2696;2.4153;5060;1;65.6;3.21;0.62;520949.4842;7002034.356
6845700;3554100;61.71478762;28.01973148;18;15883.8;2.45;13.3;2763;1.5272;5110;3;59.1;7.0275161;1.04;553739.9958;6842862.752
7129982;3359365;64.24022527;24.09666646;15;44421.3;3;7.3;2717;4.7393;5270;1;64.9;4.69;0.57;359070.7605;7127039.021
6823410;3607760;61.50360119;29.02073093;18;15883.8;1.86;11.7;2708;4.6812;5940;3;70.2;2.9423787;0.6;607380.9963;6820581.854
6914650;3444550;62.33311585;25.92673282;24;16584.2;2.23;11.6;2617;4.3741;5160;1;75.3;1.3587131;0.58;444228.5231;6911786.127
7077906;3313049;63.75206204;23.20771981;28;22880.6;2.92;11;2731;2.1248;5630;3;69.4;4.8;0.37;312772.188;7074981.174
6961490;3460540;62.75537657;26.22437364;15;44421.3;1.85;13.7;2725;3.1042;4570;1;66;4.409069;0.46;460211.9401;6958609.268
7308740;3372300;65.84678513;24.19976522;45;1560.4;2.87;9.63;2776;2.9714;5490;0;59.8;6.45;0.56;371999.9463;7305734.822
6894250;3465200;62.15259119;26.32923657;15;44421.3;2.69;10.4;2691;3.4611;5720;1;64.9;4.0311488;0.6;464871.3558;6891393.809
6964060;3304290;62.72830354;23.16830712;28;22880.6;2.73;11.3;2702;2.6062;5660;3;69.3;4.3820747;0.55;304018.0685;6961176.102
6922650;3439350;62.40407007;25.82360793;15;44421.3;2.28;12.3;2680;3.237;5760;1;66.9;4.0131526;0.51;439030.266;6919783.156
7126330;3544420;64.23346212;27.91190925;57;3353.3;3.26;6.09;2919;3.6022;5300;3;49.4;12;0.72;544059.5656;7123390.701
7105630;3437700;64.04499302;25.72116356;15;44421.3;4.06;6.06;2738;2.5564;6210;0;60.6;5.78;0.39;437378.1704;7102696.732
7327300;3367620;66.01111264;24.07852883;53;9371.4;3.06;8.58;2805;3.0046;6310;2;58.6;8.66;0.22;367321.4575;7324288.201
6893400;3674400;62.1063394;30.33777672;53;9371.4;2.71;9.99;2738;3.3532;4780;3;65.6;5.8667612;#N/A;673995.8291;6890546.973
7278034;3573684;65.58863342;28.59353219;76;55413.3;0.87;18.8;2650;2.5066;5540;3;69.9;2.64;0.33;573312.8735;7275040.104
6902750;3544350;62.22788819;27.84950827;37;764.2;2.52;10.6;2826;2.8552;6480;3;56.5;7.1174971;0.3;543992.6108;6899891.881
6685010;3402810;60.26484351;25.24100158;19;2296.7;2.39;12.1;2740;2.656;5650;0;65.5;4.7240025;0.36;402506.5692;6682229.106
6784540;3306880;61.1221596;23.41265468;18;15883.8;2.74;10.2;2735;3.1291;6150;3;67.1;4.4810538;0.48;306609.801;6781721.316
6782310;3291780;61.09447885;23.13557383;15;44421.3;3.17;9.71;2756;2.1746;5880;1;65.7;4.0401469;0.39;291515.346;6779491.93
6865800;3547500;61.89599818;27.90021415;18;15883.8;2.64;11.6;2694;2.6477;5800;4;73.2;4.319088;0.33;547142.0649;6862955.392
6912400;3560200;62.31225692;28.15753512;15;44421.3;1.13;17.4;2710;2.3987;5500;3;66.8;5.9027536;0.37;559836.7338;6909538.576
7056883;3354052;63.58316034;24.05679035;26;1315.8;3.12;6.85;2960;3.1706;6330;3;58.6;7.79;0.28;353760.9341;7053966.399
7353710;3367740;66.24769414;24.0538187;53;9371.4;2.74;8.32;2826;3.9176;6150;2;56;9.56;0.34;367441.4082;7350688.962
6822700;3314610;61.46770357;23.51808184;28;22880.6;2.83;10.6;2735;2.573;5930;3;69.5;4.1751184;0.35;314336.3166;6819867.678
6987954;3385270;62.97677866;24.73395104;27;1792.8;3.18;9.51;2669;2.8635;5580;0;72.1;2.75;0.5;384968.7855;6985062.568
7736580;3568650;69.69948051;28.76804727;84;288.7;1.36;14.5;2672;4.15;#N/A;3;70.8;3.05;#N/A;568283.4044;7733422.063
7018850;3427640;63.26480077;25.55544512;24;16584.2;3.33;9.28;2665;2.6477;5160;1;70.5;2.95;0.48;427322.8546;7015947.903
7383140;3428950;66.53137357;25.39784139;39;24592;3.02;10.4;2759;2.0252;4630;3;63.4;5.73;0.41;428629.9737;7380108.742
6695830;3200550;60.26309703;21.58337058;14;13371;3.62;7.25;2639;3.5109;5880;1;69.5;1.6916428;0.45;200319.5755;6693043.041
6955850;3506490;62.70686282;27.12346169;35;6197.2;1.92;12.2;2767;3.652;5130;3;61.1;7.1264952;0.57;506145.4567;6952971.956
6955640;3311790;62.65683607;23.32402937;28;22880.6;2.61;11.7;2720;2.4402;5380;3;69.4;4.6610158;0.46;311515.5044;6952759.289
6817810;3370520;61.44661511;24.56926112;28;22880.6;2.46;12.9;2711;2.0252;5840;0;73.2;3.3832856;0.37;370226.5563;6814980.218
7041824;3285865;63.41377921;22.70755369;28;22880.6;2.84;10.6;2714;2.656;5700;0;67.7;4.69;0.37;285598.4673;7038911.834
7108724;3583265;64.06841845;28.70244643;68;1730.9;1.15;18.6;2637;1.9256;4490;3;69.3;3.27;0.84;582890.7948;7105791.279
7179370;3555600;64.70750644;28.16227392;76;55413.3;2.39;10.3;2774;3.7101;5930;0;61.6;6.01;0.55;555235.3152;7176411.567
7363150;3602650;66.34349312;29.28819689;60;14280.3;1.73;14.1;2743;2.9216;5400;2;57.4;4.26;0.82;602268.7223;7360125.625
7207410;3527310;64.96246095;27.574442;75;3114.8;1.76;15.1;2664;2.6228;4720;0;72;2.33;1.14;526955.2772;7204441.33
7125550;3566650;64.22289237;28.3695742;76;55413.3;0.95;18.9;2664;2.0335;5280;3;70.5;2.27;0.63;566281.6003;7122611.117
7488450;3578790;67.47341466;28.83836169;76;55413.3;2.25;12.6;2608;3.4943;#N/A;0;72.1;1.4216998;#N/A;578417.6695;7485381.143
6782550;3580580;61.14365964;28.49294692;18;15883.8;1.54;15.1;2774;2.4568;5810;3;60.1;6.7755693;0.35;580211.2675;6779736.535
6870970;3611680;61.9289732;29.12343366;18;15883.8;3.18;8.82;2760;2.6726;5940;3;58.3;7.2344724;0.36;611298.9127;6868124.423
6948770;3210030;62.52955543;21.35950288;28;22880.6;1.88;14.5;2778;1.9339;5870;3;67.8;5.5338315;0.53;209791.9107;6945890.295
6953620;3383010;62.66826473;24.71345542;24;16584.2;2.47;11.1;2620;3.8844;5780;1;74.3;1.9885801;0.78;382710.0229;6950741.055
7722380;3586510;69.56705081;29.21549525;85;3786.1;1.07;16.1;2815;2.7224;#N/A;3;53.9;5.7;#N/A;586136.7992;7719226.912
6887150;3561150;62.08559013;28.16708098;18;15883.8;2.95;9.9;2728;2.6975;5060;3;74.8;4.3730766;0.53;560786.764;6884297.78
7661550;3502260;69.03577383;27.05228031;77;11958.7;1.28;14.1;2792;3.7516;5100;4;66.3;5.9927346;1.15;501916.0373;7658420.002
6847450;3515180;61.73398742;27.28397895;18;15883.8;3.05;10;2763;2.1082;6070;3;66;5.0569322;0.53;514833.8977;6844611.692
7219640;3463750;65.07125627;26.22586001;53;9371.4;2.45;11.5;2769;2.6062;#N/A;0;61.3;7.12;1.13;463417.9034;7216666.565
7439940;3402230;67.03302571;24.75118565;39;24592;1.32;17.9;2624;1.9588;#N/A;0;68.7;2.53;1.26;401919.338;7436888.928
6661070;3343220;60.03162016;24.18404862;19;2296.7;2.6;10.8;2656;3.4528;5580;0;79.6;1.4037036;0.39;342938.0575;6658297.273
7212418;3585258;64.99759825;28.80361644;76;55413.3;0.38;19.5;2631;3.2951;5430;0;73.6;1.25;0.63;584882.72;7209447.807
6834440;3284770;61.55735843;22.94600679;25;2327.6;2.46;12.2;2683;2.6062;5370;0;73.7;3.2573122;0.37;284506.9135;6831603.049
6803140;3323880;61.29679577;23.71016557;28;22880.6;3.01;9.7;2753;2.4734;5830;3;67.3;4.9219607;0.32;323603.3302;6800314.765
7561300;3440690;68.13085666;25.5695294;39;24592;2.6;12.3;2655;2.3406;5570;0;69.3;1.9345915;0.67;440366.8143;7558206.403
6833470;3373570;61.5880286;24.61564824;16;2751.9;3;9.71;2807;2.1497;5890;1;58.2;6.1996909;0.48;373275.2264;6830634.654
6885390;3220730;61.97159907;21.66766533;15;44421.3;3.21;9.04;2743;2.4734;6010;1;65.3;5.2548904;0.33;220489.0565;6882533.422
7438200;3391300;67.0137002;24.50210795;39;24592;1.31;15.4;2610;3.901;#N/A;0;71.2;2.53;1.38;390993.1049;7435149.548
6823080;3547280;61.5127305;27.88498561;18;15883.8;3.12;10.2;2791;1.5521;5790;3;64.4;6.3436605;0.37;546922.7099;6820250.935
6641460;3279880;59.82696047;23.0711536;15;44421.3;1.56;15.3;2815;1.9173;6450;4;58;6.028727;0.11;279621.169;6638693.769
6949730;3264950;62.57708503;22.42132656;15;44421.3;1.96;13.5;2718;2.7639;5620;0;70.1;4.319088;0.58;264692.3571;6946850.652
6664490;3361010;60.06869942;24.50053799;19;2296.7;3.7;9.28;2702;1.2118;6190;1;71.1;2.7444205;0.08;360721.6416;6661716.129
6673800;3391600;60.16145178;25.0445984;18;15883.8;3.45;8.18;2878;1.577;5810;0;62.7;8.9981;0.19;391300.6722;6671022.975
6856470;3418640;61.80651209;25.45372698;15;44421.3;2.04;12.8;2672;3.3449;5510;0;67.3;2.9423787;0.45;418328.8297;6853626.941
