XCOORD YCOORD GEOLAT GEOLON UNIT UNITAREA U TH RHO K PVEL METAM SIO2 FE2O3 POR
7296800 3420340 65.755358868 25.258248057 76 55413.3 1.42 18.9 2759 1.6019 5910 3 66.7 2.92 0.18
6925120 3481700 62.430741062 26.642432459 24 16584.2 1.68 15.3 2679 4.1168 5100 1 63.3 5.5158353 0.56
7444650 3554410 67.086249650 28.247900404 39 24592 4.16 6.34 2606 4.482 4190 0 74.3 0.67 1.02
6845040 3413630 61.702887167 25.364206297 15 44421.3 2.53 13.1 2746 2.9133 3550 0 62.1 5.9657403 0.93
6673590 3246260 60.095209861 22.434127633 19 2296.7 3.37 11.2 2657 2.6643 5430 4 74.8 2.4204889 0.57
6901680 3376000 62.200353905 24.614194567 24 16584.2 3.28 10.2 2667 3.569 4460 1 71.1 2.6904319 0.72
7013119 3256408 63.138286295 22.163204141 28 22880.6 1.39 17.1 2719 3.2785 5590 0 66.9 4.51 0.41
6724460 3247470 60.551068043 22.391984137 18 15883.8 3.22 11.7 2790 1.743 5800 3 61.1 6.1277061 0.43
6898200 3497400 62.189649474 26.946791018 28 22880.6 1.86 13.6 2814 3.901 5370 4 55.4 9.268043 0.9
6836140 3336680 61.598077711 23.919547505 15 44421.3 4.11 8.4 2663 2.6477 5550 1 71.1 2.3934946 0.47
6845250 3243360 61.628708195 22.154553392 15 44421.3 3.47 10.3 2745 2.3987 5660 1 62 4.8139835 0.39
6925600 3273110 62.366321086 22.611452874 15 44421.3 4.02 8.57 2693 2.5398 5650 1 69.5 3.4102799 0.43
6843390 3269950 61.628890144 22.656782415 23 1768.2 1.91 14.5 2678 4.0587 5590 1 70.3 2.4654794 0.46
6950350 3517270 62.657174833 27.333531007 35 6197.2 2.6 12.1 2805 3.0212 ND 3 60.1 8.5122026 ND
6766750 3428740 61.003629497 25.679647040 18 15883.8 3.1 11.6 2726 2.5647 6050 3 69.7 5.3448714 0.3
7299776 3601701 65.775904942 29.217003171 76 55413.3 1.06 19 2771 2.3821 5900 3 64.1 5.26 0.44
7160010 3555540 64.533899752 28.153632169 41 1291.9 1.13 18.7 2663 3.1872 5270 1 72.5 3.01 0.6
7464800 3600450 67.254987709 29.323694509 67 6997.8 0.594 20.2 2610 3.9425 4510 0 72.8 1.1787511 1.19
6949200 3509220 62.647142029 27.176447789 24 16584.2 1.82 15.2 2653 3.9342 5150 1 70.2 3.5812438 0.67
6651450 3287900 59.920619362 23.203617276 14 13371 1.71 16.5 2637 3.3864 5670 0 73.6 1.7456314 0.43
6681800 3337500 60.215213580 24.065064552 19 2296.7 3.23 11 2795 2.1165 5650 0 63 3.4912628 0.6
7036580 3488380 63.430995928 26.763807455 35 6197.2 2.72 11.8 2827 2.7058 6380 3 56 8.87 0.58
6871460 3371200 61.927828373 24.544048799 28 22880.6 2.73 11.9 2745 3.1623 5690 3 63.2 6.1367042 0.61
6857430 3411180 61.813457321 25.311840144 23 1768.2 2.99 11.3 2586 4.0836 3450 0 76 0.9987891 1.54
6885400 3339720 62.040750623 23.932961804 25 2327.6 3.4 9.23 2726 3.4196 5930 3 60.2 7.3694439 0.74
7590380 3344190 68.354746827 23.210215372 39 24592 1.09 19.7 2629 2.7556 ND 0 68.8 1.78 1.33
7306910 3428000 65.847806161 25.419740246 76 55413.3 0.84 18.9 2628 4.0338 5220 3 73.7 1.23 0.49
6844400 3476720 61.706193649 26.556722819 23 1768.2 3.36 9.3 2671 3.8761 ND 1 64.4 5.4078581 1.35
7173150 3485650 64.655959900 26.696065239 55 612.6 1.56 16.2 2633 4.0089 5530 4 74.1 1.71 0.69
7036373 3269072 63.354559359 22.380320867 28 22880.6 2.93 13 2743 1.7928 5490 3 69.4 4.58 0.37
6807700 3468170 61.376263796 26.401487705 10 123.4 2.65 11.8 2845 2.739 5470 1 55.7 10.077872 0.7
7048396 3412657 63.526399962 25.241042081 15 44421.3 2.98 11.8 2690 2.905 5820 1 67.1 3.69 0.39
7159529 3638859 64.505801301 29.887336081 76 55413.3 1.24 18.9 2691 2.4319 5920 3 69.4 2.24 0.62
6979520 3386930 62.901689001 24.772416838 15 44421.3 2.94 11.7 2780 2.4402 5560 1 61.9 6.5056263 0.58
6724950 3226750 60.541909551 22.015089011 18 15883.8 2.15 13.9 2779 2.988 5660 3 64.1 6.5236225 0.52
7011424 3321228 63.161075197 23.447740019 24 16584.2 1.11 15.8 2587 5.8515 ND 0 72 0.56 0.92
6808460 3554260 61.380643002 28.011828580 18 15883.8 2.77 12.5 2704 2.8386 5410 3 70.9 3.9051754 0.5
6932830 3224980 62.398557015 21.674084511 15 44421.3 2.16 11.8 2667 5.2871 5940 1 64.5 3.0863483 0.37
6805750 3496250 61.360063716 26.926718967 18 15883.8 2.59 12.5 2807 2.5979 6190 3 68.7 6.4066472 0.41
6836040 3224470 61.533342647 21.813617438 28 22880.6 1.89 14.7 2842 2.656 5670 3 56.2 8.0892919 0.25
7098767 3582082 63.979420216 28.672868873 68 1730.9 1.43 18.8 2684 1.9837 5440 0 70.1 2.93 0.61
6947270 3304480 62.578097600 23.191385611 28 22880.6 2.32 14.8 2683 2.4983 5750 3 74.2 3.1043445 0.29
6864400 3347440 61.855756346 24.098231775 15 44421.3 3.54 9.51 2679 3.0793 5490 1 70.3 2.8973882 0.33
6895570 3347880 62.135259201 24.079944825 15 44421.3 3.95 8.8 2758 1.909 5470 1 59.7 5.6058163 0.43
6708970 3278620 60.430753032 22.975492053 15 44421.3 4.11 8.71 2707 1.8758 5730 0 69.6 2.6544395 0.41
6866860 3328800 61.869872627 23.742384126 15 44421.3 3.37 10.3 2669 2.988 4730 1 66.6 3.8961773 0.64
6979520 3462150 62.917295782 26.251776731 24 16584.2 2.88 11.2 2610 4.1002 ND 1 76.3 0.9807929 0.65
6694770 3420290 60.356221711 25.552814850 18 15883.8 2.6 12.5 2734 2.988 5040 3 65.9 5.5518277 0.41
6902390 3309770 62.179005996 23.343428921 16 2751.9 2.37 14.3 2795 1.8675 5320 1 58.1 6.8115617 1.05
6854700 3575270 61.791962912 28.423624031 18 15883.8 1.48 15.7 2816 3.1291 6670 3 59.2 7.3154553 0.48
6788790 3201680 61.094416828 21.462388675 18 15883.8 1.88 14.4 2753 3.4196 5430 3 65 5.5698239 0.7
6727830 3240040 60.576476071 22.252606911 15 44421.3 3.15 12 2678 2.241 5940 0 69.2 2.3575022 0.34
7445000 3387000 67.073034338 24.397052124 39 24592 0.7 20.5 2613 3.1789 ND 0 72.9 1.68 1.24
7332480 3532170 66.083646075 27.707041360 39 24592 4.41 6.05 2629 3.5358 ND 1 75.5 0.55 0.63
6969510 3293330 62.771074783 22.947842050 28 22880.6 3.17 11.9 2725 1.909 5710 3 71.2 4.5350424 0.75
6934540 3343350 62.482574176 23.958120291 26 1315.8 3.58 8.99 2699 3.1125 5930 0 68.8 3.7162153 0.33
6850690 3364030 61.739144545 24.423347787 26 1315.8 3.44 8.98 2711 3.4113 6090 3 61.2 3.5542495 0.46
6783790 3238510 61.075924207 22.149436454 6 909.2 2.68 12 2613 3.9923 5250 1 82.9 0.77203698 1.25
6828190 3377430 61.541935174 24.691797663 28 22880.6 2.9 11.8 2730 2.6726 4970 3 66.6 4.3460823 0.39
7213300 3545450 65.013310847 27.960268554 76 55413.3 2.41 13.7 2677 2.988 5910 0 72.7 1.67 0.46
7331360 3479970 66.074575552 26.553748118 76 55413.3 4.02 8.12 2563 3.5524 ND 0 76.3 0.48 1.86
6833200 3556620 61.602276961 28.063512065 18 15883.8 2.05 14.5 2715 3.0876 6100 3 64.1 6.6046054 0.65
6857900 3444450 61.823980208 25.942666068 24 16584.2 3.51 9.61 2661 3.071 5440 0 72.3 1.8985991 0.7
7352250 3476610 66.261672703 26.475670872 76 55413.3 2.57 14.1 2655 2.3738 5010 3 70.5 2.18 0.56
6711030 3377340 60.491309135 24.765261381 18 15883.8 1.76 15.2 2798 2.7639 5550 0 65.9 5.0839265 0.36
6856050 3573250 61.804464535 28.385890494 14 13371 1.98 12.2 2604 5.7602 5370 1 72.6 0.85751893 0.74
6916500 3533700 62.352354850 27.647383543 24 16584.2 1.63 15 2653 4.2745 4190 1 66.2 4.0221507 1.15
7612750 3459220 68.595301608 25.994882511 77 11958.7 1.04 17.2 2735 3.6769 ND 4 69.6 5.8307688 ND
6774390 3307240 61.031426053 23.429586743 20 4130.1 3.55 9.13 2756 2.5979 6250 3 63.7 4.8139835 0.32
6716490 3387760 60.543320493 24.951600935 19 2296.7 2.17 13.9 2699 3.2619 4900 0 66.5 3.419278 0.62
6926800 3465350 62.444641933 26.325602603 28 22880.6 2.57 13.8 2724 2.0584 5290 3 64 6.2446814 1.08
6776730 3221450 61.001125157 21.844929477 9 3089.7 2.01 13.3 2667 4.3658 ND 1 70.5 3.7072172 0.87
6912970 3574130 62.314875427 28.426298240 15 44421.3 1.49 17.3 2616 3.2287 ND 0 72.4 2.0605649 0.73
6908250 3520550 62.279281721 27.392526138 18 15883.8 3.69 8.84 2786 2.2078 6040 3 60.4 7.018518 0.43
6804430 3487950 61.348045679 26.771649631 18 15883.8 3.07 11.6 2701 2.4402 6060 3 71.4 3.8601849 0.6
7062662 3299012 63.607906171 22.943653373 24 16584.2 3.06 10.9 2724 2.8054 5790 0 69.4 4.24 0.37
6980500 3303590 62.875094411 23.135379165 28 22880.6 3.12 11.7 2728 2.0169 5600 3 68.7 4.9759493 0.55
6827320 3298580 61.501065114 23.213004031 26 1315.8 3.06 10 2677 3.7931 4620 0 76.1 2.1505459 0.72
6700260 3373530 60.393547680 24.702839240 19 2296.7 2.66 14.2 2732 1.4027 6090 0 67 4.1031336 0.23
6821170 3383940 61.481000248 24.818531454 24 16584.2 5.38 0.13 2640 4.9717 4960 0 72.7 0.38961773 0.54
6809680 3462220 61.393495057 26.289808348 18 15883.8 2.96 11.4 2757 2.4485 5890 3 61.1 6.1457023 0.46
7099470 3439390 63.990048706 25.758206030 24 16584.2 2.61 10.3 2639 5.0547 3660 0 72.8 2.47 0.87
7056550 3500050 63.610343121 26.997543089 53 9371.4 2.83 10.7 2774 3.1955 6660 3 64.8 6.55 0.64
6834490 3237150 61.528322310 22.053283076 15 44421.3 3.32 10.3 2760 2.241 5950 1 64 4.5800329 0.35
6673290 3289610 60.117096659 23.211775017 19 2296.7 3.64 9.59 2707 2.2576 ND 3 71.5 4.5080481 0.49
6879660 3299020 61.969919374 23.163317449 24 16584.2 3.22 9.9 2682 3.3532 5600 1 69.5 3.2483141 0.4
7492170 3471250 67.515802295 26.322554074 60 14280.3 2.85 8.85 2833 4.1002 4410 2 54.8 8.5931855 1.26
7173600 3521550 64.659633381 27.447464007 75 3114.8 2.26 13.8 2769 2.4734 6150 3 60.6 5.84 0.44
7416350 3555450 66.832359423 28.258659272 39 24592 1.75 16.3 2583 3.3781 ND 0 74.3 0.57 1.67
6802950 3534570 61.333440124 27.642519879 18 15883.8 2.4 12.4 2728 3.3947 5870 3 64.1 5.0569322 0.46
7444080 3450950 67.082001823 25.867694881 39 24592 1.53 14.8 2625 4.7559 3790 0 71.7 1.89 1.27
6836360 3612550 61.618367187 29.118529902 18 15883.8 2.31 12.4 2681 3.9674 6080 3 62.8 5.5068372 0.39
7675120 3256700 69.048679981 20.892648943 1 118.7 2.36 12.6 2763 3.1042 5290 1 62.5 6.31 0.81
6822800 3243300 61.427927632 22.184666530 28 22880.6 2.51 11.5 2721 3.7931 5640 3 66 5.1019227 1.83
7136030 3387166 64.304688055 24.664677881 24 16584.2 2.39 11.2 2675 4.6646 ND 1 67.1 4.78 1.05
7454650 3542740 67.177777162 27.983088612 56 3504.9 5.54 4.86 2637 0.9794 3400 3 66 1.8 1.27
6968110 3419030 62.807916740 25.409055776 24 16584.2 3.74 7.47 2668 3.7516 4970 1 66.9 4.6070272 0.51
6973060 3634050 62.836818335 29.627892127 53 9371.4 3.33 8.75 2770 3.2121 4880 3 57.1 8.8271361 1.82
6727460 3339820 60.625402977 24.070245585 14 13371 3.62 9.37 2743 2.1331 5610 1 63.1 4.0401469 0.34
7319762 3579539 65.961307261 28.745508698 76 55413.3 2.39 13.6 2783 2.1082 5810 3 69 4.19 0.58
7147750 3526620 64.427417898 27.548902278 75 3114.8 2.38 11.4 2823 3.4777 6050 3 66.3 7.66 0.5
6927320 3541370 62.448659914 27.798038406 15 44421.3 3.05 11.9 2726 1.9256 5710 3 64.1 5.5248334 0.4
6971440 3644490 62.818332930 29.831132698 53 9371.4 2.93 10.1 2773 3.2536 5540 3 60.7 6.8655503 0.64
7039392 3273095 63.384134268 22.456163594 28 22880.6 2.95 10.2 2703 3.6022 5270 0 70 3.14 0.41
6857160 3376640 61.801427288 24.657352437 23 1768.2 2.03 13 2659 4.3741 4230 1 68.4 3.239316 0.55
7362620 3617790 66.333413883 29.625351230 60 14280.3 1.54 13.7 2777 4.3658 ND 2 57.8 5.21 ND
7055657 3259578 63.520688733 22.162265196 28 22880.6 3.49 8.95 2723 2.8801 5750 1 65.5 4.12 0.33
7056372 3309884 63.557619998 23.169864931 28 22880.6 2.57 13.4 2716 2.1497 6010 3 72.3 4 0.37
6672400 3340920 60.132300804 24.134033690 19 2296.7 3.06 10.7 2683 3.0129 6050 0 74.1 2.7714148 0.28
6838500 3479720 61.653423848 26.614091635 23 1768.2 2.74 10 2701 4.2745 4230 1 66 5.1019227 0.68
7364410 3513650 66.371313190 27.301212231 39 24592 2.72 11.6 2586 3.9923 3590 0 74.3 0.33 1.07
6785650 3456930 61.177320775 26.196356766 15 44421.3 3.37 10.7 2665 2.2825 5080 1 68.8 2.1685421 0.44
6717510 3313460 60.524859797 23.598938908 14 13371 3.66 6.45 2599 5.1045 4950 0 75.1 0.56418087 0.41
6892050 3503250 62.134465235 27.059027240 28 22880.6 2.1 13.2 2843 2.6975 5170 3 58.6 10.617758 0.91
6697190 3282340 60.327299198 23.055668909 15 44421.3 3.64 9.6 2780 1.5438 5500 0 62.9 5.2009018 0.55
6856270 3657540 61.781036690 29.982686181 20 4130.1 1.85 13.6 2783 3.4777 5260 3 57.6 6.6855883 0.96
6873330 3277700 61.901379385 22.765785115 23 1768.2 2.36 12.8 2588 4.067 3970 1 75.9 1.529677 1.2
6824480 3367680 61.505453180 24.511302925 28 22880.6 2.51 12.8 2699 2.8303 5830 3 69.8 3.3562913 0.45
6994870 3437300 63.051538147 25.757023124 15 44421.3 2.75 11.5 2662 3.3947 5670 1 70.1 2.72 0.54
6743900 3441210 60.800660947 25.917072392 15 44421.3 2.67 11.8 2812 2.3572 5950 0 58.1 6.4426396 0.24
7633760 3483150 68.786129005 26.578654277 77 11958.7 0.927 18.9 2698 2.6726 4070 4 60 8.3052463 0.75
7072171 3305298 63.696526657 23.058236290 28 22880.6 2.64 13.1 2731 2.0169 5940 3 69.8 4.75 0.46
7066321 3387828 63.680089418 24.729636559 27 1792.8 3.92 8.66 2746 1.6683 6360 1 64.6 4.16 0.37
6960130 3206770 62.628408053 21.276968318 28 22880.6 1.75 16.3 2768 1.826 5920 3 68.6 5.7047954 0.29
6912210 3349750 62.285125518 24.101473933 27 1792.8 3.37 9.13 2664 3.3947 5820 1 66.3 2.519468 0.45
6895750 3387140 62.150700445 24.831858757 26 1315.8 3.03 9.37 2736 3.6354 6200 0 63.7 4.7060063 0.23
6844640 3260070 61.634037491 22.469428153 28 22880.6 2.84 10.6 2721 3.3366 5840 3 65.6 4.4540595 0.38
6679430 3199340 60.115669204 21.585865504 18 15883.8 2.83 11.3 2760 2.5813 5820 3 56.5 7.5044154 0.52
6838370 3633150 61.629826267 29.507922004 19 2296.7 3.09 10.9 2709 2.5066 5330 3 64.7 3.7162153 0.48
6816670 3342790 61.426137733 24.051072731 28 22880.6 2.52 11.9 2812 2.6311 5730 3 65.2 5.6148144 0.57
6699630 3342380 60.376960161 24.139036333 18 15883.8 2.03 14.6 2784 2.1663 5710 0 60.3 5.6328106 0.64
7144020 3518000 64.394519807 27.369555314 39 24592 1.15 15.9 2602 4.9053 4900 0 74.9 0.77 0.76
7481760 3473130 67.422646508 26.369064349 60 14280.3 3.14 11.1 2775 1.7513 6210 0 59.9 7.6033945 0.75
6967480 3400180 62.797605450 25.040071956 26 1315.8 2.91 11 2656 3.2785 5800 1 70 2.9873692 0.57
7349180 3355650 66.201801214 23.790514041 45 1560.4 3.63 8.48 2681 2.9714 5380 0 67.4 3.58 0.58
6896900 3321270 62.135480222 23.569374149 26 1315.8 3.3 9.66 2695 2.8884 6080 0 72.8 3.0863483 0.8
6706730 3173680 60.339762009 21.082869315 14 13371 1.04 15.6 2625 5.2041 5640 1 73.5 1.0437796 0.3
6838050 3357490 61.623466505 24.309612169 27 1792.8 2.85 9.62 2732 3.8761 6250 0 59.5 5.3268752 0.35
6825660 3300980 61.487443435 23.259762429 26 1315.8 2.92 10.2 2687 3.569 4950 3 76.7 2.1325497 1
7575520 3502910 68.264508957 27.066225358 77 11958.7 0.935 15.1 3022 3.2785 4060 4 57 8.548195 1.27
6896100 3235890 62.078185838 21.939669489 15 44421.3 3.26 10 2676 2.8552 5690 1 69.2 2.9063863 0.39
6880600 3429850 62.025201798 25.656789150 15 44421.3 3.2 10.3 2740 2.3489 5200 1 65.3 4.6610158 0.51
6911680 3281210 62.246602773 22.784993618 15 44421.3 2.99 10.7 2675 3.0793 5780 1 70.5 2.9783711 0.33
6891920 3356400 62.105894090 24.246050659 26 1315.8 2.86 10.9 2661 3.3781 5820 0 69.2 3.059354 0.42
6815620 3597860 61.436358313 28.830804018 18 15883.8 2.25 12.3 2711 3.652 6160 3 60.2 5.6598049 0.71
7319170 3484240 65.965501852 26.649569294 76 55413.3 2.16 14.7 2607 2.8801 3650 3 73.4 1.42 1.37
6763080 3272740 60.911828314 22.806363287 15 44421.3 3.56 8.79 2838 1.8011 5330 0 58 7.9993109 0.26
6877320 3379850 61.983205055 24.704662077 28 22880.6 2.59 12.6 2701 2.5647 5800 3 69.1 4.2920937 0.59
6740730 3322580 60.737043978 23.743812783 18 15883.8 3.3 10.7 2688 2.1082 5180 3 70 3.5362533 0.46
6898550 3443470 62.188520700 25.911125035 15 44421.3 2.35 12.5 2681 3.4196 5200 1 68.3 3.6802229 0.38
7526500 3570850 67.816434941 28.676878381 76 55413.3 2.77 11.7 2587 3.5109 3880 0 75 0.76213907 1.72
7367280 3401100 66.381600333 24.784490486 53 9371.4 2.85 9.23 2820 3.4777 5970 3 56.1 10.1 0.33
6725590 3431340 60.634790412 25.742276814 18 15883.8 2.11 13.2 2737 3.1291 5820 3 65.8 5.2278961 0.82
6952000 3503140 62.672362562 27.057940309 15 44421.3 2.42 12.5 2802 2.3489 5400 0 58.4 8.7911437 0.82
6862750 3487500 61.871359018 26.759205305 23 1768.2 2.43 11.2 2733 3.735 5490 1 62.4 6.838556 0.49
7118350 3467860 64.163207657 26.335763971 35 6197.2 2.3 11.3 2864 3.154 6120 3 58.4 9.44 0.49
6949550 3462070 62.648421714 26.257009269 24 16584.2 2.92 8.62 2756 4.1251 5620 1 61.5 6.1636985 0.45
7403000 3420590 66.707341098 25.196990186 39 24592 0.88 17.9 2605 3.9425 ND 0 71.8 2.11 1.83
6793450 3427030 61.242858359 25.637772652 14 13371 5.08 4.01 2628 2.4983 4860 1 75 0.30233616 0.59
7220340 3478800 65.078847155 26.545615005 53 9371.4 2.53 11.5 2789 2.8469 5850 2 60.6 8.15 1.5
6932590 3660160 62.463771975 30.101412357 53 9371.4 2.47 14.1 2670 1.909 5390 0 77 2.2585231 0.8
7061850 3513650 63.657632284 27.272121401 44 340.8 2.8 11.9 2622 2.9714 5800 0 74.1 1.54 0.94
6952700 3522280 62.677992495 27.431559622 35 6197.2 2.83 11 2744 2.6892 5850 3 66.3 5.8217707 0.35
7024130 3440670 63.314555423 25.812932097 26 1315.8 2.76 11.3 2668 3.1706 6010 0 69.9 2.83 0.67
7061474 3363329 63.628004188 24.239392867 24 16584.2 2.88 10.2 2639 3.8595 5930 1 75 1.41 0.28
6795100 3335230 61.229712492 23.928650183 28 22880.6 2.73 10.7 2758 3.071 5910 3 64.1 5.3178771 0.59
6687830 3317260 60.260670558 23.695113970 18 15883.8 2.88 11 2750 2.49 6270 3 63.4 6.6226016 0.15
7663320 3483800 69.051158700 26.589859612 77 11958.7 1.08 16 2815 3.3034 ND 4 64.9 6.3436605 ND
7027670 3373580 63.328865235 24.472842713 26 1315.8 2.81 11.8 2718 2.2991 5390 0 71.7 2.84 0.55
6971450 3281100 62.781333514 22.706499046 28 22880.6 3.17 11.2 2678 2.0335 4170 3 73.4 3.8871792 1.35
6690870 3230450 60.239651449 22.128108503 14 13371 2.98 8.47 2616 5.0049 5570 1 74.7 0.9178062 0.44
6680020 3239070 60.148211947 22.297120509 18 15883.8 2.46 13.6 2700 2.0501 5830 3 72.8 3.239316 0.28
7683900 3509060 69.235990898 27.224564524 83 1161.5 1.23 14.5 2824 3.9176 5630 3 67.1 5.5518277 0.23
6802650 3245470 61.249159131 22.252597789 28 22880.6 2.57 12.5 2720 2.407 5740 3 70.7 4.2471032 0.25
6976120 3374620 62.867183705 24.533082996 24 16584.2 2.55 11.9 2617 3.6354 5690 1 72.8 2.069563 0.73
6843070 3604350 61.680848497 28.967881515 18 15883.8 1.83 14 2704 3.4362 5970 3 62.2 6.478632 0.48
7517410 3478410 67.742713730 26.485344668 60 14280.3 2.67 11.9 2848 1.7347 ND 3 57.8 7.9093299 ND
6978110 3631160 62.883126397 29.575195620 53 9371.4 3.34 8.67 2805 2.5481 5910 3 61.3 7.5044154 0.19
6825280 3633630 61.512309976 29.507468970 18 15883.8 3.51 10.9 2675 1.3197 6070 0 70.1 2.6724357 0.24
7026322 3335014 63.301087076 23.705677255 28 22880.6 2.81 11.4 2710 2.6145 5660 3 68.1 4.91 0.98
6838200 3382910 61.633396135 24.788369925 25 2327.6 2.68 10.1 2801 3.3034 5840 3 61.8 5.6058163 0.68
7615300 3376500 68.593808641 23.963876818 60 14280.3 4.52 6.95 2642 1.66 4610 3 70.6 1.26 0.7
7028850 3447760 63.358000238 25.952809688 35 6197.2 2.4 12.7 2664 3.071 6020 0 72.2 2.14 0.41
6723140 3371510 60.598085563 24.651431014 20 4130.1 3.78 7.9 2910 1.2201 6350 1 56.2 8.548195 0.15
6877550 3613220 61.987519017 29.156895515 47 7951.5 2.2 13.5 2744 2.4734 5270 3 65.3 9.268043 1.07
6857860 3496960 61.827678168 26.939074711 28 22880.6 2.9 11.6 2727 2.0667 5960 3 67.6 4.5170462 0.35
7407200 3520780 66.754624056 27.467723497 39 24592 1.51 16 2628 3.3283 4670 0 74.5 1.37 0.97
6691030 3182370 60.206455326 21.264099691 15 44421.3 2.36 12.5 2687 3.154 6030 1 67.9 2.9153844 0.28
6717380 3399270 60.554355391 25.160756406 18 15883.8 3.11 9.34 2837 2.407 5690 3 58.8 8.3592349 0.32
6997300 3527880 63.077739075 27.548273669 57 3353.3 1.87 13.3 2645 4.1749 5420 0 80.6 0.71 0.98
6797480 3563450 61.280745447 28.179990897 14 13371 4.02 7.83 2717 1.8094 5510 1 66.6 3.3922837 0.43
7019750 3498120 63.280200239 26.959119718 35 6197.2 2.86 10.2 2783 2.7971 5820 3 59.7 6.61 0.3
7332870 3558730 66.083340991 28.293971041 57 3353.3 2.97 8.3 2818 3.6437 5650 3 56.7 7.38 0.47
7319460 3371230 65.942376733 24.165775074 53 9371.4 3.1 8.92 2699 3.6105 ND 3 61.3 7.55 2.18
6860910 3362900 61.830353309 24.394237900 15 44421.3 3.37 8.83 2760 2.5066 5900 1 61 5.3718657 0.32
6994571 3268701 62.980501746 22.432282729 28 22880.6 2.14 13.6 2790 2.1663 6060 3 69 5.85 0.2
6837130 3564080 61.636370357 28.205393958 18 15883.8 1.71 13.1 2790 3.7101 6070 3 61.5 6.478632 0.46
7022165 3277893 63.233066356 22.575571678 28 22880.6 2.66 10.4 2677 3.8512 5270 0 72 2.64 0.79
6933030 3708270 62.443905464 31.032129352 74 2743.7 2.76 11.6 2687 2.6062 5160 0 62.5 4.2740975 1.78
7014355 3606769 63.216017858 29.119593602 76 55413.3 2.89 11.6 2637 2.5979 ND 3 70.7 1.79 0.99
6779170 3397380 61.108109137 25.093605820 18 15883.8 3 11.6 2568 2.8054 ND 3 58.3 6.8115617 19
6810480 3301490 61.351771428 23.285527173 28 22880.6 2.7 10.6 2808 2.6892 6070 3 66.6 4.4000709 0.41
7401800 3363200 66.676372288 23.899966590 39 24592 1.42 15.3 2630 3.9425 5430 0 71.4 1.6 0.58
6973470 3555600 62.860801041 28.088707602 76 55413.3 0.429 18.1 2689 4.1749 5040 3 65.3 3.329297 0.58
7371240 3581780 66.422152471 28.827800532 39 24592 3.93 8.91 2596 2.0252 4790 0 80.8 0.26 0.94
7076000 3563350 63.779143331 28.281102496 76 55413.3 1.8 15.8 2673 2.2244 5840 0 70.8 2.47 0.53
7012674 3299854 63.161029921 23.023060894 28 22880.6 1.32 15.9 2755 2.905 5510 0 65.9 5.42 0.35
6834410 3584260 61.608092501 28.584608126 18 15883.8 1.87 13.7 2727 3.2038 5250 3 62.3 5.4618467 0.85
7111432 3338011 64.064709762 23.677151376 28 22880.6 2.91 11.3 2728 2.1165 6220 3 70.3 4.56 0.29
6844940 3363410 61.687379522 24.415948059 15 44421.3 2.57 11.7 2685 3.0461 5910 1 66.9 3.3832856 0.69
6796100 3441970 61.269145736 25.915142942 18 15883.8 1.8 14.4 2770 2.5896 5750 3 60.8 7.1444914 0.62
6963680 3297020 62.720955988 23.026954580 28 22880.6 2.74 11.6 2695 2.5813 4380 3 70.9 3.8421887 0.73
6963210 3443190 62.768520914 25.884297199 15 44421.3 2.98 8.29 2788 3.735 4760 1 61.2 7.6753793 0.55
7089730 3345281 63.873653563 23.847810305 28 22880.6 2.7 11.1 2726 2.8303 6140 3 70.1 4.23 0.29
6995655 3204811 62.943946926 21.176516274 28 22880.6 3.23 9.86 2742 2.1829 5320 3 66.9 5.42 0.41
7433960 3502910 66.995261742 27.062743623 60 14280.3 2.33 12.5 2627 3.5026 5180 2 63.3 3.83 2.78
7109317 3421769 64.074819610 25.393283082 27 1792.8 4.12 4.98 2944 2.0833 6750 0 53.8 8.88 0.26
7666350 3274300 68.985558958 21.351541271 76 55413.3 1.1 19.1 2693 1.5438 5180 3 67.8 4.31 0.78
6669860 3306070 60.094502695 23.510496970 18 15883.8 3.28 10.9 2724 1.3944 5780 3 71.9 4.2561013 0.06
6945000 3432600 62.603384863 25.684280742 24 16584.2 2.87 9.34 2626 4.3243 4600 1 75.3 2.0785611 0.81
6703320 3341640 60.409747547 24.122719217 18 15883.8 1.72 14 2712 3.4362 5650 0 63.9 4.9849474 0.52
7078398 3297258 63.747707630 22.888006140 24 16584.2 2.48 13.2 2655 2.3323 5540 1 71.1 1.94 0.59
7158420 3437770 64.518415201 25.700511171 24 16584.2 1.59 13.4 2658 4.5982 3860 0 68.4 3.47 0.84
7440020 3556550 67.044351381 28.294905541 39 24592 3.84 6.37 2615 3.9176 3600 0 74.1 0.49 1.01
7370300 3402350 66.409057143 24.810054015 53 9371.4 2.86 8.92 2815 3.3615 5700 3 58.3 9.31 0.81
6952650 3436250 62.672655052 25.752450069 15 44421.3 2.99 8.16 2785 3.7516 ND 1 59.6 7.2254743 ND
6960420 3498320 62.747913958 26.963779592 15 44421.3 3.03 9.54 2805 2.4983 4560 1 60.4 8.1612767 0.4
7457250 3423740 67.194370655 25.233453776 39 24592 1.29 15.9 2606 3.9342 ND 0 74.8 1.28 1.39
6738410 3346330 60.726107118 24.180438137 18 15883.8 1.8 14.9 2734 2.3738 5860 3 60.3 6.5956073 0.41
7357420 3383850 66.287314696 24.408316669 57 3353.3 2.59 12.7 2655 2.3738 5620 2 76.7 2.86 0.79
