XCOORD YCOORD GEOLAT GEOLON UNIT UNITAREA U TH RHO K PVEL METAM SIO2 FE2O3 POR
6731720 3502930 60.695711742 27.050534069 8 9523.8 9.49 43.3 2630 4.7725 4910 1 74.7 1.7816238 0.46
7713600 3583620 69.489323790 29.133543171 85 3786.1 7.47 51.1 2630 4.4903 ND 0 73 1.85 ND
7508620 3400680 67.647835967 24.656133836 39 24592 12.1 33.5 2627 4.2164 5240 0 74.5 1.16 0.76
7355030 3506600 66.287422056 27.143169133 76 55413.3 14.7 28.3 2610 0.9711 ND 3 76.3 0.39 1.02
6800850 3249520 61.235676256 22.330182006 9 3089.7 7.15 49.9 2639 4.6812 5160 1 75.4 1.9345915 0.49
7094030 3557240 63.941895444 28.163902017 53 9371.4 20.4 6.06 2597 1.6185 ND 0 58.5 4.02 ND
7433460 3438930 66.984601838 25.596788945 39 24592 2.72 67 2611 4.7974 4200 0 73.5 1.32 1.02
7539400 3500700 67.940684333 27.012587722 12 940.7 12.6 32.3 2614 3.1789 5020 1 76 0.41931146 0.69
7551250 3485100 68.046534045 26.638881612 12 940.7 8.6 46.7 2604 3.7184 4300 0 76.2 0.9178062 0.95
7529830 3470270 67.853342596 26.289487285 12 940.7 9.74 42.6 2594 3.6852 4050 0 75.6 0.66675921 1.28
7719150 3565030 69.544218941 28.662392732 12 940.7 10.6 36 2693 3.7267 ND 0 70.5 2.36 ND
6652680 3271220 59.922717711 22.904796495 14 13371 11 34.7 2636 4.7393 5350 0 73.3 1.5116808 0.28
6693780 3445890 60.351575254 26.016781307 14 13371 13.4 26 2607 4.7559 4590 0 74.2 1.3677112 0.61
7187350 3512470 64.783415599 27.258582916 76 55413.3 0.93 70.7 2657 4.8057 5830 0 73.1 1.48 0.42
7116200 3501650 64.145433290 27.030357938 75 3114.8 8.1 43.6 2695 4.1583 5450 0 70.7 5.42 0.57
6812960 3562000 61.419863213 28.158076891 15 44421.3 16 15.8 2632 4.316 5380 0 70.7 2.1415478 0.58
7415470 3479760 66.828793031 26.535298710 39 24592 7.24 48.4 2605 4.8057 4530 0 75.3 0.62 0.59
6689880 3290340 60.266047916 23.207751232 14 13371 5.22 55.2 2621 4.8721 5370 0 72.8 1.8446105 0.52
7466860 3386420 67.268621195 24.362411091 39 24592 5.84 54.5 2629 3.4362 3540 3 72.4 2.73 1.71
7359850 3352430 66.295833245 23.706692764 60 14280.3 5.79 53.4 2628 4.1832 5250 3 74.2 2.1 0.88
7518750 3531900 67.753812756 27.750690894 76 55413.3 17 13.6 2599 3.32 3540 0 75.7 0.47509968 1.19
6683940 3249090 60.189559523 22.472094846 14 13371 7.02 47.6 2614 5.0298 5380 0 73.5 1.5656694 0.41
6797380 3524380 61.284223217 27.451481176 8 9523.8 5.87 51.9 2620 4.4405 ND 1 72.8 2.3665003 0.6
7388160 3449020 66.580346467 25.847100507 39 24592 10 37.6 2605 3.9591 4670 3 75.6 1.28 0.84
7520150 3580350 67.757069035 28.897509870 67 6997.8 17 12.6 2577 3.8097 ND 0 76.1 0.39951564 ND
7133813 3358624 64.274240973 24.077784489 15 44421.3 11.5 30.2 2639 4.4571 5730 1 73.4 1.77 0.51
7732070 3544140 69.664283238 28.133264517 85 3786.1 7.81 44.2 2645 4.0172 ND 3 72.7 2.75 ND
7607800 3358850 68.518336178 23.541826639 39 24592 9.05 41.7 2611 3.1208 ND 0 75.9 0.64 0.73
6862630 3332320 61.833542003 23.813113401 24 16584.2 6.63 48 2630 4.5069 5410 1 72.7 1.6736466 0.7
7447140 3425610 67.104228828 25.283101163 39 24592 1.29 69.2 2610 3.8595 ND 0 73.6 1.8 1.27
7409770 3498310 66.778357259 26.957683971 39 24592 9.5 37.2 2666 3.6271 5630 0 70.1 2.37 0.53
7217638 3584919 65.044480679 28.799584258 76 55413.3 3.17 60.3 2636 4.5069 5600 0 73.5 1.47 0.53
6967750 3455050 62.810899932 26.115259218 15 44421.3 13.3 22.4 2620 4.9136 4940 1 73.5 1.4936846 0.71
6767900 3571720 61.013937401 28.323006166 8 9523.8 5.28 51.3 2653 4.6231 4230 1 70.6 2.4654794 0.44
