Aika [a];Lämpöteho [kW];Kentästä tuleva lämpötila [°C];Kenttään menevä lämpötila
11.501182792;5425.462;18.082;2
11.501819920;5056.405;16.935;2
11.503094175;4652.784;15.708;2
11.504368430;4398.359;14.943;2
11.506916940;4107.934;14.078;2
11.512013960;3805.987;13.183;2
11.517110979;3619.372;12.632;2
11.527305019;3405.792;12.002;2
11.547693099;3182.517;11.345;2
11.568081178;3044.771;10.940;2
11.608857337;2887.292;10.478;2
11.690409655;2720.115;9.987;2
11.853514291;2550.597;9.490;2
12.000000000;2452.684;9.203;40
12.000000075;-19.140;8.966;40
12.000000151;88.598;9.014;40
12.000000302;-207.800;9.026;40
12.000000603;-802.466;9.088;40
12.000001206;-1547.600;9.186;40
12.000001810;-2143.742;9.271;40
12.000003016;-2957.622;9.425;40
12.000005429;-3999.689;9.686;40
12.000007842;-4732.924;9.915;40
12.000012667;-5622.742;10.293;40
12.000017493;-6218.916;10.612;40
12.000027145;-6886.721;11.113;40
12.000046447;-7441.608;11.934;40
12.000065750;-7624.100;12.776;40
12.000104356;-7517.684;14.576;40
12.000142962;-7287.643;16.206;40
12.000220173;-6862.811;18.419;40
12.000374595;-6301.636;20.768;40
12.000529018;-5919.872;22.175;40
12.000837863;-5461.658;23.721;40
12.001146709;-5155.121;24.708;40
12.001764399;-4783.739;25.864;40
12.002999780;-4377.360;27.101;40
12.004235161;-4121.012;27.872;40
12.006705923;-3828.223;28.745;40
12.011647446;-3523.966;29.647;40
12.016588970;-3336.057;30.202;40
12.026472017;-3121.041;30.835;40
12.046238112;-2896.266;31.497;40
12.066004207;-2757.652;31.905;40
12.105536397;-2599.373;32.370;40
12.184600776;-2431.733;32.862;40
12.342729534;-2262.541;33.358;40
12.500000000;-2157.791;33.665;40
12.500000078;327.408;33.900;2
12.500000156;220.733;33.853;2
12.500000311;524.089;33.838;2
12.500000622;1122.232;33.776;2
12.500001244;1883.123;33.677;2
12.500001867;2484.666;33.590;2
12.500003111;3310.144;33.432;2
12.500005600;4360.566;33.164;2
12.500008089;5092.531;32.930;2
12.500013066;5977.835;32.546;2
12.500018044;6567.190;32.222;2
12.500027999;7226.393;31.715;2
12.500047909;7759.401;30.871;2
12.500067819;7923.390;29.996;2
12.500107639;7794.860;28.145;2
12.500147460;7554.775;26.498;2
12.500227101;7124.614;24.295;2
12.500386382;6562.973;21.971;2
12.500545664;6182.463;20.580;2
12.500864226;5726.620;19.049;2
12.501182789;5421.902;18.071;2
12.501819915;5052.845;16.924;2
12.503094167;4649.225;15.697;2
12.504368419;4394.799;14.933;2
12.506916923;4104.375;14.067;2
12.512013930;3802.429;13.173;2
12.517110938;3615.816;12.621;2
12.527304953;3402.238;11.992;2
12.547692982;3178.967;11.335;2
12.568081012;3041.226;10.930;2
12.608857072;2883.758;10.467;2
12.690409191;2716.601;9.976;2
12.853513429;2547.121;9.480;2
13.000000000;2449.242;9.193;40
13.000000075;-22.583;8.956;40
13.000000151;85.156;9.004;40
13.000000302;-211.241;9.016;40
13.000000603;-805.905;9.078;40
13.000001206;-1551.037;9.176;40
13.000001810;-2147.200;9.261;40
13.000003016;-2961.063;9.415;40
13.000005429;-4003.182;9.676;40
13.000007842;-4736.377;9.905;40
13.000012667;-5626.218;10.283;40
13.000017493;-6222.266;10.602;40
13.000027145;-6890.274;11.102;40
13.000046447;-7445.094;11.924;40
13.000065750;-7627.556;12.766;40
13.000104356;-7521.137;14.566;40
13.000142961;-7291.094;16.196;40
13.000220172;-6866.251;18.409;40
13.000374594;-6305.089;20.757;40
13.000529017;-5923.316;22.165;40
13.000837861;-5465.100;23.711;40
13.001146706;-5158.565;24.697;40
13.001764394;-4787.184;25.854;40
13.002999772;-4380.804;27.091;40
13.004235150;-4124.456;27.862;40
13.006705905;-3831.665;28.735;40
13.011647415;-3527.407;29.637;40
13.016588926;-3339.497;30.192;40
13.026471947;-3124.479;30.825;40
13.046237989;-2899.698;31.487;40
13.066004032;-2761.080;31.895;40
13.105536116;-2602.792;32.360;40
13.184600285;-2435.134;32.852;40
13.342728623;-2265.907;33.348;40
13.500000000;-2161.122;33.655;40
13.500000078;324.075;33.890;2
13.500000156;217.402;33.843;2
13.500000311;520.755;33.829;2
13.500000622;1118.902;33.767;2
13.500001244;1879.792;33.667;2
13.500001867;2481.339;33.580;2
13.500003111;3306.819;33.422;2
13.500005600;4357.273;33.154;2
13.500008088;5089.275;32.920;2
13.500013066;5974.641;32.537;2
13.500018044;6563.855;32.213;2
13.500027999;7222.974;31.706;2
13.500047909;7756.022;30.862;2
13.500067819;7920.043;29.986;2
13.500107639;7791.496;28.136;2
13.500147459;7551.425;26.488;2
13.500227100;7121.292;24.285;2
13.500386381;6559.688;21.962;2
13.500545662;6179.133;20.570;2
13.500864225;5723.288;19.039;2
13.501182787;5418.571;18.062;2
13.501819911;5049.516;16.915;2
13.503094160;4645.895;15.688;2
13.504368409;4391.470;14.923;2
13.506916907;4101.046;14.057;2
13.512013903;3799.102;13.163;2
13.517110899;3612.489;12.612;2
13.527304891;3398.913;11.982;2
13.547692875;3175.647;11.325;2
13.568080859;3037.910;10.920;2
13.608856826;2880.450;10.457;2
13.690408762;2713.310;9.967;2
13.853512633;2543.864;9.470;2
14.000000000;2446.014;9.184;40
14.000000075;-25.810;8.946;40
14.000000151;81.930;8.994;40
14.000000302;-214.468;9.006;40
14.000000603;-809.130;9.068;40
14.000001206;-1554.260;9.166;40
14.000001810;-2150.436;9.251;40
14.000003016;-2964.287;9.406;40
14.000005429;-4006.459;9.666;40
14.000007842;-4739.612;9.896;40
14.000012667;-5629.551;10.273;40
14.000017493;-6225.576;10.593;40
14.000027144;-6893.445;11.093;40
14.000046447;-7448.238;11.914;40
14.000065750;-7630.766;12.756;40
14.000104355;-7524.348;14.557;40
14.000142961;-7294.335;16.186;40
14.000220172;-6869.484;18.399;40
14.000374594;-6308.306;20.748;40
14.000529015;-5926.548;22.155;40
14.000837859;-5468.333;23.701;40
14.001146703;-5161.795;24.688;40
14.001764390;-4790.413;25.845;40
14.002999765;-4384.032;27.081;40
14.004235139;-4127.684;27.852;40
14.006705888;-3834.893;28.725;40
14.011647387;-3530.634;29.627;40
14.016588885;-3342.722;30.182;40
14.026471882;-3127.702;30.816;40
14.046237875;-2902.918;31.477;40
14.066003869;-2764.296;31.885;40
14.105535855;-2605.999;32.350;40
14.184599829;-2438.326;32.843;40
14.342727777;-2269.068;33.339;40
14.500000000;-2164.253;33.646;40
14.500000078;320.943;33.881;2
14.500000156;214.273;33.834;2
14.500000311;517.622;33.819;2
14.500000622;1115.772;33.758;2
14.500001244;1876.661;33.658;2
14.500001867;2478.212;33.571;2
14.500003111;3303.692;33.413;2
14.500005600;4354.177;33.145;2
14.500008088;5086.182;32.911;2
14.500013066;5971.631;32.527;2
14.500018044;6560.746;32.203;2
14.500027999;7219.840;31.697;2
14.500047909;7752.879;30.852;2
14.500067819;7916.913;29.977;2
14.500107639;7788.402;28.126;2
14.500147459;7548.318;26.479;2
14.500227100;7118.167;24.276;2
14.500386380;6556.513;21.953;2
14.500545661;6176.011;20.561;2
14.500864223;5720.165;19.030;2
14.501182784;5415.444;18.052;2
14.501819907;5046.388;16.905;2
14.503094154;4642.767;15.678;2
14.504368400;4388.342;14.914;2
14.506916893;4097.918;14.048;2
14.512013878;3795.974;13.154;2
14.517110863;3609.363;12.602;2
14.527304834;3395.789;11.973;2
14.547692775;3172.526;11.316;2
14.568080716;3034.793;10.911;2
14.608856598;2877.341;10.448;2
14.690408363;2710.216;9.958;2
14.853511891;2540.799;9.461;2
15.000000000;2442.975;9.175;40
15.000000075;-28.850;8.937;40
15.000000151;78.892;8.985;40
15.000000302;-217.506;8.997;40
15.000000603;-812.166;9.059;40
15.000001206;-1557.296;9.157;40
15.000001810;-2153.482;9.242;40
15.000003016;-2967.321;9.397;40
15.000005429;-4009.491;9.657;40
15.000007842;-4742.656;9.887;40
15.000012667;-5632.639;10.264;40
15.000017493;-6228.663;10.584;40
15.000027144;-6896.417;11.084;40
15.000046447;-7451.357;11.905;40
15.000065750;-7633.805;12.747;40
15.000104355;-7527.421;14.548;40
15.000142960;-7297.369;16.177;40
15.000220171;-6872.525;18.391;40
15.000374593;-6311.357;20.739;40
15.000529014;-5929.590;22.146;40
15.000837857;-5471.376;23.692;40
15.001146700;-5164.837;24.679;40
15.001764386;-4793.454;25.836;40
15.002999758;-4387.073;27.072;40
15.004235129;-4130.724;27.843;40
15.006705873;-3837.933;28.716;40
15.011647360;-3533.673;29.618;40
15.016588847;-3345.760;30.173;40
15.026471821;-3130.738;30.807;40
15.046237768;-2905.950;31.469;40
15.066003716;-2767.324;31.876;40
15.105535612;-2609.021;32.341;40
15.184599403;-2441.334;32.834;40
15.342726986;-2272.049;33.330;40
15.500000000;-2167.207;33.637;40
15.500000078;317.988;33.872;2
15.500000156;211.319;33.825;2
15.500000311;514.665;33.811;2
15.500000622;1112.818;33.749;2
15.500001244;1873.707;33.649;2
15.500001867;2475.261;33.562;2
15.500003111;3300.743;33.404;2
15.500005600;4351.254;33.136;2
15.500008088;5083.269;32.902;2
15.500013066;5968.777;32.519;2
15.500018043;6557.794;32.195;2
15.500027999;7216.882;31.688;2
15.500047909;7749.973;30.844;2
15.500067819;7913.972;29.968;2
15.500107639;7785.485;28.118;2
15.500147459;7545.357;26.470;2
15.500227099;7115.209;24.267;2
15.500386380;6553.567;21.944;2
15.500545660;6173.053;20.552;2
15.500864221;5717.211;19.022;2
15.501182782;5412.492;18.044;2
15.501819904;5043.436;16.897;2
15.503094148;4639.815;15.670;2
15.504368392;4385.390;14.905;2
15.506916879;4094.967;14.040;2
15.512013854;3793.024;13.145;2
15.517110830;3606.413;12.594;2
15.527304780;3392.840;11.964;2
15.547692681;3169.581;11.307;2
15.568080582;3031.851;10.902;2
15.608856384;2874.406;10.440;2
15.690407989;2707.294;9.949;2
15.853511197;2537.904;9.453;2
16.000000000;2440.102;9.166;40
16.000000075;-31.723;8.929;40
16.000000151;76.020;8.977;40
16.000000302;-220.378;8.989;40
16.000000603;-815.037;9.051;40
16.000001206;-1560.166;9.149;40
16.000001810;-2156.359;9.234;40
16.000003016;-2970.183;9.388;40
16.000005429;-4012.395;9.649;40
16.000007842;-4745.524;9.878;40
16.000012667;-5635.588;10.256;40
16.000017493;-6231.549;10.575;40
16.000027144;-6899.363;11.076;40
16.000046447;-7454.282;11.897;40
16.000065750;-7636.668;12.739;40
16.000104355;-7530.294;14.539;40
16.000142960;-7300.238;16.169;40
16.000220171;-6875.394;18.382;40
16.000374592;-6314.226;20.731;40
16.000529013;-5932.470;22.138;40
16.000837855;-5474.253;23.684;40
16.001146698;-5167.714;24.671;40
16.001764382;-4796.329;25.827;40
16.002999751;-4389.947;27.064;40
16.004235120;-4133.598;27.835;40
16.006705858;-3840.806;28.708;40
16.011647335;-3536.545;29.610;40
16.016588811;-3348.632;30.165;40
16.026471763;-3133.608;30.798;40
16.046237668;-2908.816;31.460;40
16.066003573;-2770.188;31.868;40
16.105535383;-2611.878;32.333;40
16.184599003;-2444.179;32.825;40
16.342726243;-2274.870;33.322;40
16.500000000;-2170.004;33.629;40
16.500000078;315.190;33.864;2
16.500000156;208.523;33.817;2
16.500000311;511.866;33.802;2
16.500000622;1110.022;33.741;2
16.500001244;1870.910;33.641;2
16.500001867;2472.466;33.554;2
16.500003111;3297.951;33.396;2
16.500005600;4348.484;33.128;2
16.500008088;5080.512;32.894;2
16.500013066;5966.047;32.510;2
16.500018043;6554.976;32.186;2
16.500027998;7214.050;31.680;2
16.500047908;7747.136;30.836;2
16.500067819;7911.215;29.960;2
16.500107639;7782.644;28.110;2
16.500147459;7542.570;26.462;2
16.500227099;7112.412;24.259;2
16.500386379;6550.767;21.936;2
16.500545659;6170.261;20.544;2
16.500864219;5714.417;19.013;2
16.501182780;5409.698;18.036;2
16.501819901;5040.641;16.888;2
16.503094142;4637.021;15.662;2
16.504368383;4382.596;14.897;2
16.506916866;4092.172;14.031;2
16.512013832;3790.230;13.137;2
16.517110798;3603.619;12.586;2
16.527304730;3390.049;11.956;2
16.547692593;3166.792;11.299;2
16.568080457;3029.066;10.894;2
16.608856183;2871.626;10.431;2
16.690407637;2704.526;9.941;2
16.853510544;2535.159;9.444;2
17.000000000;2437.377;9.158;40
17.000000075;-34.448;8.921;40
17.000000151;73.297;8.969;40
17.000000302;-223.101;8.981;40
17.000000603;-817.759;9.043;40
17.000001206;-1562.886;9.141;40
17.000001810;-2159.086;9.226;40
17.000003016;-2972.896;9.380;40
17.000005429;-4015.145;9.641;40
17.000007842;-4748.240;9.870;40
17.000012667;-5638.362;10.248;40
17.000017493;-6234.304;10.567;40
17.000027144;-6902.103;11.068;40
17.000046447;-7457.042;11.889;40
17.000065749;-7639.451;12.731;40
17.000104355;-7533.004;14.531;40
17.000142960;-7302.967;16.161;40
17.000220170;-6878.114;18.374;40
17.000374591;-6316.957;20.723;40
17.000529012;-5935.191;22.130;40
17.000837854;-5476.974;23.676;40
17.001146695;-5170.437;24.663;40
17.001764378;-4799.054;25.819;40
17.002999745;-4392.673;27.056;40
17.004235112;-4136.323;27.827;40
17.006705845;-3843.530;28.700;40
17.011647311;-3539.269;29.602;40
17.016588777;-3351.354;30.157;40
17.026471709;-3136.329;30.790;40
17.046237574;-2911.535;31.452;40
17.066003438;-2772.903;31.860;40
17.105535167;-2614.588;32.325;40
17.184598625;-2446.878;32.817;40
17.342725541;-2277.547;33.314;40
17.500000000;-2172.659;33.621;40
17.500000078;312.533;33.856;2
17.500000156;205.868;33.809;2
17.500000311;509.209;33.795;2
17.500000622;1107.367;33.733;2
17.500001244;1868.255;33.633;2
17.500001867;2469.812;33.546;2
17.500003111;3295.301;33.388;2
17.500005600;4345.852;33.120;2
17.500008088;5077.884;32.886;2
17.500013066;5963.393;32.503;2
17.500018043;6552.310;32.179;2
17.500027998;7211.382;31.672;2
17.500047908;7744.436;30.828;2
17.500067818;7908.556;29.952;2
17.500107638;7779.982;28.102;2
17.500147458;7539.896;26.454;2
17.500227098;7109.767;24.251;2
17.500386378;6548.118;21.928;2
17.500545658;6167.604;20.536;2
17.500864218;5711.764;19.006;2
17.501182778;5407.044;18.028;2
17.501819897;5037.988;16.881;2
17.503094137;4634.367;15.654;2
17.504368376;4379.942;14.889;2
17.506916854;4089.519;14.024;2
17.512013811;3787.577;13.129;2
17.517110768;3600.967;12.578;2
17.527304682;3387.398;11.948;2
17.547692510;3164.144;11.291;2
17.568080338;3026.420;10.886;2
17.608855993;2868.985;10.424;2
17.690407304;2701.897;9.933;2
17.853509927;2532.551;9.437;2
18.000000000;2434.787;9.151;40
18.000000075;-37.038;8.913;40
18.000000151;70.708;8.961;40
18.000000302;-225.690;8.973;40
18.000000603;-820.347;9.035;40
18.000001206;-1565.473;9.133;40
18.000001810;-2161.674;9.218;40
18.000003016;-2975.474;9.373;40
18.000005429;-4017.756;9.633;40
18.000007842;-4750.821;9.863;40
18.000012667;-5640.986;10.240;40
18.000017493;-6236.975;10.560;40
18.000027144;-6904.603;11.060;40
18.000046447;-7459.664;11.881;40
18.000065749;-7642.024;12.723;40
18.000104354;-7535.597;14.524;40
18.000142960;-7305.571;16.153;40
18.000220170;-6880.725;18.366;40
18.000374590;-6319.543;20.715;40
18.000529011;-5937.780;22.122;40
18.000837852;-5479.564;23.668;40
18.001146693;-5173.028;24.655;40
18.001764375;-4801.646;25.812;40
18.002999739;-4395.264;27.048;40
18.004235103;-4138.914;27.819;40
18.006705832;-3846.121;28.692;40
18.011647288;-3541.858;29.594;40
18.016588745;-3353.943;30.149;40
18.026471658;-3138.917;30.783;40
18.046237484;-2914.120;31.444;40
18.066003310;-2775.486;31.852;40
18.105534963;-2617.165;32.317;40
18.184598267;-2449.445;32.810;40
18.342724877;-2280.095;33.306;40
18.500000000;-2175.187;33.614;40
18.500000078;310.004;33.849;2
18.500000156;203.341;33.802;2
18.500000311;506.680;33.787;2
18.500000622;1104.839;33.725;2
18.500001244;1865.727;33.626;2
18.500001867;2467.286;33.539;2
18.500003111;3292.779;33.380;2
18.500005600;4343.344;33.113;2
18.500008088;5075.352;32.879;2
18.500013066;5960.863;32.495;2
18.500018043;6549.786;32.171;2
18.500027998;7208.858;31.664;2
18.500047908;7741.918;30.820;2
18.500067818;7906.067;29.945;2
18.500107638;7777.463;28.094;2
18.500147458;7537.370;26.447;2
18.500227098;7107.251;24.244;2
18.500386378;6545.630;21.920;2
18.500545657;6165.078;20.529;2
18.500864216;5709.235;18.998;2
18.501182776;5404.517;18.020;2
18.501819894;5035.460;16.873;2
18.503094131;4631.840;15.646;2
18.504368369;4377.416;14.882;2
18.506916843;4086.993;14.016;2
18.512013791;3785.051;13.121;2
18.517110740;3598.442;12.570;2
18.527304637;3384.874;11.941;2
18.547692431;3161.622;11.284;2
18.568080225;3023.901;10.879;2
18.608855813;2866.472;10.416;2
18.690406989;2699.392;9.926;2
18.853509342;2530.066;9.429;2
19.000000000;2432.319;9.143;40
19.000000075;-39.506;8.906;40
19.000000151;68.241;8.954;40
19.000000302;-228.158;8.966;40
19.000000603;-822.813;9.028;40
19.000001206;-1567.939;9.126;40
19.000001810;-2164.138;9.211;40
19.000003016;-2977.933;9.365;40
19.000005429;-4020.244;9.626;40
19.000007842;-4753.281;9.855;40
19.000012667;-5643.413;10.233;40
19.000017493;-6239.445;10.552;40
19.000027144;-6907.048;11.053;40
19.000046447;-7462.107;11.874;40
19.000065749;-7644.498;12.716;40
19.000104354;-7538.091;14.516;40
19.000142959;-7308.021;16.146;40
19.000220169;-6883.178;18.359;40
19.000374590;-6322.011;20.708;40
19.000529010;-5940.252;22.115;40
19.000837850;-5482.047;23.661;40
19.001146691;-5175.506;24.648;40
19.001764372;-4804.115;25.804;40
19.002999734;-4397.732;27.041;40
19.004235096;-4141.383;27.812;40
19.006705819;-3848.589;28.685;40
19.011647267;-3544.326;29.587;40
19.016588714;-3356.410;30.142;40
19.026471609;-3141.383;30.776;40
19.046237399;-2916.583;31.437;40
19.066003189;-2777.947;31.845;40
19.105534768;-2619.622;32.310;40
19.184597927;-2451.892;32.803;40
19.342724246;-2282.524;33.299;40
19.500000000;-2177.598;33.606;40
19.500000078;307.592;33.842;2
19.500000156;200.930;33.795;2
19.500000311;504.267;33.780;2
19.500000622;1102.428;33.718;2
19.500001244;1863.315;33.618;2
19.500001867;2464.876;33.532;2
19.500003111;3290.374;33.373;2
19.500005600;4340.949;33.105;2
19.500008088;5072.938;32.872;2
19.500013066;5958.412;32.488;2
19.500018043;6547.389;32.164;2
19.500027998;7206.466;31.657;2
19.500047908;7739.542;30.813;2
19.500067818;7903.651;29.938;2
19.500107638;7775.084;28.087;2
19.500147458;7534.958;26.440;2
19.500227098;7104.830;24.237;2
19.500386377;6543.212;21.913;2
19.500545656;6162.671;20.522;2
19.500864215;5706.827;18.991;2
19.501182774;5402.108;18.013;2
19.501819891;5033.051;16.866;2
19.503094127;4629.431;15.639;2
19.504368362;4375.006;14.875;2
19.506916832;4084.583;14.009;2
19.512013772;3782.642;13.114;2
19.517110713;3596.034;12.563;2
19.527304594;3382.466;11.934;2
19.547692356;3159.217;11.277;2
19.568080118;3021.498;10.872;2
19.608855642;2864.073;10.409;2
19.690406689;2697.003;9.919;2
19.853508785;2527.694;9.423;2
20.000000000;2429.962;9.136;40
20.000000075;-41.863;8.899;40
20.000000151;65.885;8.947;40
20.000000302;-230.514;8.959;40
20.000000603;-825.168;9.021;40
20.000001206;-1570.293;9.119;40
20.000001810;-2166.491;9.204;40
20.000003016;-2980.281;9.359;40
20.000005429;-4022.618;9.619;40
20.000007842;-4755.636;9.848;40
20.000012667;-5645.724;10.226;40
20.000017493;-6241.839;10.545;40
20.000027144;-6909.527;11.046;40
20.000046447;-7464.507;11.867;40
20.000065749;-7646.824;12.709;40
20.000104354;-7540.441;14.509;40
20.000142959;-7310.392;16.139;40
20.000220169;-6885.538;18.352;40
20.000374589;-6324.381;20.701;40
20.000529009;-5942.611;22.108;40
20.000837849;-5484.394;23.654;40
20.001146689;-5177.856;24.641;40
20.001764369;-4806.473;25.797;40
20.002999728;-4400.090;27.034;40
20.004235088;-4143.740;27.805;40
20.006705807;-3850.946;28.678;40
20.011647246;-3546.682;29.580;40
20.016588685;-3358.766;30.135;40
20.026471563;-3143.737;30.769;40
20.046237318;-2918.936;31.430;40
20.066003073;-2780.297;31.838;40
20.105534583;-2621.968;32.303;40
20.184597603;-2454.230;32.796;40
20.342723644;-2284.845;33.292;40
20.500000000;-2179.903;33.600;40
20.500000078;305.286;33.835;2
20.500000156;198.626;33.788;2
20.500000311;501.961;33.773;2
20.500000622;1100.123;33.711;2
20.500001244;1861.010;33.612;2
20.500001867;2462.572;33.525;2
20.500003111;3288.074;33.367;2
20.500005600;4338.660;33.099;2
20.500008088;5070.685;32.865;2
20.500013066;5956.197;32.481;2
20.500018043;6545.101;32.157;2
20.500027998;7204.180;31.651;2
20.500047908;7737.207;30.806;2
20.500067818;7901.381;29.931;2
20.500107638;7772.767;28.080;2
20.500147458;7532.669;26.433;2
20.500227097;7102.531;24.230;2
20.500386376;6540.884;21.907;2
20.500545656;6160.366;20.515;2
20.500864214;5704.524;18.984;2
20.501182772;5399.805;18.007;2
20.501819889;5030.748;16.859;2
20.503094122;4627.128;15.632;2
20.504368355;4372.703;14.868;2
20.506916822;4082.280;14.002;2
20.512013754;3780.340;13.108;2
20.517110687;3593.731;12.557;2
20.527304553;3380.165;11.927;2
20.547692284;3156.918;11.270;2
20.568080016;3019.201;10.865;2
20.608855478;2861.780;10.403;2
20.690406403;2694.718;9.912;2
20.853508254;2525.425;9.416;2
21.000000000;2427.708;9.130;40
21.000000075;-44.117;8.893;40
21.000000151;63.631;8.940;40
21.000000302;-232.767;8.952;40
21.000000603;-827.421;9.014;40
21.000001206;-1572.545;9.112;40
21.000001810;-2168.742;9.197;40
21.000003016;-2982.528;9.352;40
21.000005429;-4024.888;9.612;40
21.000007842;-4757.893;9.842;40
21.000012667;-5647.946;10.219;40
21.000017493;-6244.047;10.539;40
21.000027144;-6911.889;11.039;40
21.000046447;-7466.708;11.860;40
21.000065749;-7649.083;12.702;40
21.000104354;-7542.695;14.503;40
21.000142959;-7312.642;16.132;40
21.000220169;-6887.800;18.346;40
21.000374588;-6326.632;20.694;40
21.000529008;-5944.868;22.102;40
21.000837848;-5486.654;23.647;40
21.001146687;-5180.111;24.634;40
21.001764366;-4808.728;25.791;40
21.002999723;-4402.346;27.027;40
21.004235081;-4145.996;27.798;40
21.006705796;-3853.201;28.671;40
21.011647227;-3548.937;29.573;40
21.016588657;-3361.020;30.128;40
21.026471518;-3145.990;30.762;40
21.046237240;-2921.186;31.424;40
21.066002962;-2782.546;31.831;40
21.105534406;-2624.213;32.297;40
21.184597294;-2456.467;32.789;40
21.342723069;-2287.067;33.286;40
21.500000000;-2182.109;33.593;40
21.500000078;303.078;33.829;2
21.500000156;196.419;33.782;2
21.500000311;499.753;33.767;2
21.500000622;1097.916;33.705;2
21.500001244;1858.803;33.605;2
21.500001867;2460.366;33.518;2
21.500003111;3285.872;33.360;2
21.500005600;4336.467;33.092;2
21.500008088;5068.535;32.858;2
21.500013066;5953.986;32.475;2
21.500018043;6542.924;32.151;2
21.500027998;7201.997;31.644;2
21.500047908;7734.991;30.800;2
21.500067818;7899.220;29.924;2
21.500107638;7770.576;28.074;2
21.500147457;7530.458;26.427;2
21.500227097;7100.330;24.223;2
21.500386376;6538.678;21.900;2
21.500545655;6158.163;20.508;2
21.500864213;5702.324;18.978;2
21.501182770;5397.600;18.000;2
21.501819886;5028.543;16.853;2
21.503094118;4624.922;15.626;2
21.504368349;4370.498;14.861;2
21.506916812;4080.075;13.996;2
21.512013737;3778.135;13.101;2
21.517110663;3591.527;12.550;2
21.527304514;3377.962;11.921;2
21.547692216;3154.716;11.264;2
21.568079918;3017.001;10.859;2
21.608855322;2859.584;10.396;2
21.690406130;2692.529;9.906;2
21.853507746;2523.252;9.409;2
22.000000000;2425.547;9.123;40
22.000000075;-46.278;8.886;40
22.000000151;61.472;8.934;40
22.000000302;-234.927;8.946;40
22.000000603;-829.579;9.008;40
22.000001206;-1574.703;9.106;40
22.000001810;-2170.900;9.191;40
22.000003016;-2984.681;9.346;40
22.000005429;-4027.062;9.606;40
22.000007842;-4760.053;9.835;40
22.000012667;-5650.071;10.213;40
22.000017493;-6246.261;10.532;40
22.000027144;-6913.938;11.033;40
22.000046446;-7468.780;11.854;40
22.000065749;-7651.216;12.696;40
22.000104354;-7544.848;14.496;40
22.000142959;-7314.811;16.126;40
22.000220168;-6889.970;18.339;40
22.000374588;-6328.792;20.688;40
22.000529007;-5947.030;22.095;40
22.000837846;-5488.813;23.641;40
22.001146685;-5182.274;24.628;40
22.001764363;-4810.890;25.784;40
22.002999719;-4404.507;27.021;40
22.004235074;-4148.157;27.792;40
22.006705785;-3855.362;28.665;40
22.011647208;-3551.097;29.567;40
22.016588631;-3363.180;30.122;40
22.026471476;-3148.149;30.756;40
22.046237166;-2923.343;31.417;40
22.066002856;-2784.701;31.825;40
22.105534237;-2626.364;32.290;40
22.184596997;-2458.611;32.783;40
22.342722519;-2289.197;33.280;40
22.500000000;-2184.225;33.587;40
22.500000078;300.962;33.822;2
22.500000156;194.304;33.775;2
22.500000311;497.635;33.761;2
22.500000622;1095.801;33.699;2
22.500001244;1856.686;33.599;2
22.500001867;2458.250;33.512;2
22.500003111;3283.761;33.354;2
22.500005600;4334.365;33.086;2
22.500008088;5066.479;32.852;2
22.500013066;5951.887;32.469;2
22.500018043;6540.850;32.145;2
22.500027998;7199.805;31.638;2
22.500047908;7732.926;30.794;2
22.500067818;7897.092;29.918;2
22.500107638;7768.463;28.068;2
22.500147457;7528.349;26.420;2
22.500227097;7098.216;24.217;2
22.500386375;6536.560;21.894;2
22.500545654;6156.047;20.502;2
22.500864211;5700.206;18.972;2
22.501182769;5395.485;17.994;2
22.501819884;5026.428;16.847;2
22.503094113;4622.808;15.620;2
22.504368343;4368.383;14.855;2
22.506916802;4077.961;13.990;2
22.512013721;3776.021;13.095;2
22.517110639;3589.413;12.544;2
22.527304476;3375.849;11.914;2
22.547692150;3152.605;11.257;2
22.568079824;3014.892;10.852;2
22.608855172;2857.478;10.390;2
22.690405868;2690.430;9.900;2
22.853507260;2521.167;9.403;2
23.000000000;2423.474;9.117;40
23.000000075;-48.351;8.880;40
23.000000151;59.400;8.928;40
23.000000302;-236.999;8.940;40
23.000000603;-831.651;9.002;40
23.000001206;-1576.774;9.100;40
23.000001810;-2172.972;9.185;40
23.000003016;-2986.745;9.339;40
23.000005429;-4029.148;9.600;40
23.000007842;-4762.123;9.829;40
23.000012667;-5651.986;10.207;40
23.000017493;-6248.348;10.526;40
23.000027144;-6916.011;11.027;40
23.000046446;-7470.814;11.848;40
23.000065749;-7653.314;12.690;40
23.000104354;-7546.914;14.490;40
23.000142958;-7316.891;16.120;40
23.000220168;-6892.041;18.333;40
23.000374587;-6330.866;20.682;40
23.000529006;-5949.105;22.089;40
23.000837845;-5490.886;23.635;40
23.001146683;-5184.349;24.622;40
23.001764360;-4812.965;25.778;40
23.002999714;-4406.581;27.015;40
23.004235068;-4150.230;27.786;40
23.006705775;-3857.435;28.659;40
23.011647190;-3553.170;29.561;40
23.016588605;-3365.252;30.116;40
23.026471435;-3150.220;30.750;40
23.046237095;-2925.413;31.411;40
23.066002755;-2786.769;31.819;40
23.105534074;-2628.429;32.284;40
23.184596713;-2460.669;32.777;40
23.342721992;-2291.242;33.274;40
23.500000000;-2186.257;33.581;40
23.500000078;298.929;33.816;2
23.500000156;192.272;33.769;2
23.500000311;495.602;33.755;2
23.500000622;1093.770;33.693;2
23.500001244;1854.654;33.593;2
23.500001867;2456.219;33.506;2
