58,89,Gabro,920132,3.250,712.000,2804.000,6.948,0.022,41.285,0.023
59,465,Grano- ja kvartsidioriitti,4658357,3.170,731.000,2675.000,6.877,0.027,41.580,0.041
60,117,Graniitti,1178771,3.200,721.000,2640.000,6.690,0.008,40.778,0.033
61,112,Grano- ja kvartsidioriitti,1071170,3.170,731.000,2675.000,6.999,0.005,40.673,0.013
62,95,Kvartsi- ja maasalpagneissi,976431,3.100,723.000,2794.000,7.069,0.029,40.677,0.014
63,40,Graniitti,420237,3.200,721.000,2640.000,7.021,0.001,40.548,0.002
64,222,Amfiboliitti,2260746,2.660,731.000,2906.000,6.735,0.023,40.831,0.064
65,153,Amfiboliitti,1548641,2.660,731.000,2906.000,6.870,0.032,40.763,0.029
66,44,Kiillegneissi,411964,2.870,725.000,2707.000,6.975,0.015,40.577,0.004
67,20,Kiillegneissi,218444,2.870,725.000,2707.000,6.924,0.006,40.595,0.003
