num_neurons1,activation_function1,num_neurons2,activation_function2,min_absolute_error,mean_absolute_error,max_absolute_error,mean_relative_error,max_relative_error
4,relu,5,relu,-0.257784,0.006608,0.174664,0.045358,0.305110
4,relu,5,tanh,-0.177541,0.009064,0.101159,0.028613,0.222942
4,relu,6,selu,-0.344793,-0.004316,0.080989,0.021855,0.372713
4,relu,6,relu,-0.075498,-0.008168,0.078218,0.027193,0.130552
4,relu,6,tanh,-0.179214,-0.009460,0.065821,0.020729,0.197477
4,relu,7,selu,-0.258705,0.005900,0.082676,0.025562,0.290541
4,relu,7,relu,-0.139146,-0.007309,0.083140,0.021615,0.152565
4,relu,7,tanh,-0.211729,0.009882,0.110546,0.036333,0.232844
4,relu,8,selu,-0.250257,-0.007317,0.071385,0.021596,0.271182
4,relu,8,relu,-0.157775,-0.003154,0.047245,0.018471,0.172040
4,relu,8,tanh,-0.144424,0.005199,0.068782,0.023507,0.166121
4,tanh,,,-0.306311,0.000609,0.228142,0.040462,0.334985
4,tanh,3,selu,-0.135805,0.007866,0.124037,0.031964,0.161411
4,tanh,3,relu,-0.243216,-0.003756,0.158336,0.033501,0.261658
4,tanh,3,tanh,-0.261969,0.002600,0.209697,0.039659,0.290258
4,tanh,4,selu,-0.209787,0.000133,0.150094,0.029952,0.228203
4,tanh,4,relu,-0.245156,-0.013018,0.141027,0.037454,0.266463
4,tanh,4,tanh,-0.303272,-0.012496,0.197699,0.046773,0.326267
4,tanh,5,selu,-0.277231,0.007117,0.180307,0.043206,0.316563
4,tanh,5,relu,-0.193846,-0.000256,0.126679,0.027194,0.213035
4,tanh,5,tanh,-0.309069,-0.001818,0.200908,0.042560,0.332504
4,tanh,6,selu,-0.193270,-0.002331,0.116804,0.034201,0.207924
4,tanh,6,relu,-0.117147,0.010103,0.125395,0.027335,0.152889
4,tanh,6,tanh,-0.272139,-0.002046,0.176858,0.045132,0.292774
4,tanh,7,selu,-0.182976,-0.017062,0.082455,0.035280,0.199874
4,tanh,7,relu,-0.119851,0.000772,0.108976,0.027703,0.143588
4,tanh,7,tanh,-0.289006,-0.007646,0.218059,0.049316,0.321430
4,tanh,8,selu,-0.245974,0.006903,0.185046,0.040090,0.305592
4,tanh,8,relu,-0.082875,-0.003955,0.068088,0.023418,0.096964
4,tanh,8,tanh,-0.246085,-0.008740,0.203081,0.040580,0.276705
5,selu,,,-0.356646,-0.011865,0.135826,0.033440,0.383688
5,selu,3,selu,-0.147571,0.007028,0.136516,0.029718,0.169156
5,selu,3,relu,-0.185741,0.004552,0.120194,0.023299,0.199864
5,selu,3,tanh,-0.237098,-0.011577,0.135122,0.033460,0.255075
5,selu,4,selu,-0.224974,-0.009619,0.126398,0.036090,0.242033
5,selu,4,relu,-0.220006,-0.002870,0.130591,0.034576,0.240449
5,selu,4,tanh,-0.199605,0.009717,0.166126,0.044209,0.227568
5,selu,5,selu,-0.208158,-0.001011,0.149500,0.036204,0.234566
5,selu,5,relu,-0.206893,-0.006531,0.093656,0.027915,0.222580
5,selu,5,tanh,-0.245015,-0.000318,0.152215,0.033984,0.263593
5,selu,6,selu,-0.164023,-0.001546,0.117596,0.035196,0.186814
5,selu,6,relu,-0.114330,-0.000202,0.102128,0.025468,0.127764
5,selu,6,tanh,-0.230251,0.004244,0.150060,0.030800,0.247710
5,selu,7,selu,-0.190101,0.009796,0.147020,0.029316,0.204515
5,selu,7,relu,-0.148671,0.001671,0.108923,0.023757,0.171710
5,selu,7,tanh,-0.205283,0.007812,0.153442,0.039848,0.248722
5,selu,8,selu,-0.186092,0.000895,0.152200,0.042617,0.213938
5,selu,8,relu,-0.214863,-0.013370,0.091597,0.036020,0.232734
