num_neurons1,activation_function1,num_neurons2,activation_function2,min_absolute_error,mean_absolute_error,max_absolute_error,mean_relative_error,max_relative_error
3,selu,,,-0.053750,0.000227,0.050967,0.041802,0.175675
3,selu,3,selu,-0.045610,-0.006533,0.035471,0.043133,0.153581
3,selu,3,relu,-0.041582,-0.004993,0.040678,0.041676,0.153664
3,selu,3,tanh,-0.045081,0.001313,0.054767,0.044289,0.182764
3,selu,4,selu,-0.037812,0.000500,0.050891,0.047774,0.169856
3,selu,4,relu,-0.037014,0.005525,0.045990,0.039693,0.145686
3,selu,4,tanh,-0.042600,0.006542,0.056434,0.046310,0.177738
3,selu,5,selu,-0.040908,-0.001145,0.042125,0.043214,0.143490
3,selu,5,relu,-0.038162,0.002624,0.045066,0.045103,0.157605
3,selu,5,tanh,-0.043823,0.007152,0.063177,0.054537,0.210987
3,selu,6,selu,-0.037042,0.001573,0.045669,0.035808,0.148929
3,selu,6,relu,-0.044880,-0.005277,0.034321,0.038100,0.143292
3,selu,6,tanh,-0.038176,0.008579,0.067689,0.049760,0.218541
3,selu,7,selu,-0.036464,0.001673,0.045259,0.046225,0.159456
3,selu,7,relu,-0.049602,-0.006894,0.036488,0.044491,0.157385
3,selu,7,tanh,-0.038297,0.003475,0.053015,0.047296,0.180143
3,selu,8,selu,-0.051443,-0.009551,0.032641,0.046538,0.160490
3,selu,8,relu,-0.039141,-0.003949,0.040639,0.044076,0.148086
3,selu,8,tanh,-0.040776,0.005868,0.054467,0.046749,0.172791
3,relu,,,-0.041836,-0.000378,0.042516,0.037926,0.144883
3,relu,3,selu,-0.039189,0.001997,0.040131,0.040456,0.148707
3,relu,3,relu,-0.682489,-0.000468,0.760934,0.982856,2.293980
3,relu,3,tanh,-0.034243,0.002692,0.041586,0.046544,0.152604
3,relu,4,selu,-0.042792,-0.001645,0.041476,0.050919,0.177901
3,relu,4,relu,-0.031568,0.001825,0.040820,0.035627,0.134285
3,relu,4,tanh,-0.040856,0.000461,0.041862,0.044590,0.161589
3,relu,5,selu,-0.040907,-0.002770,0.037296,0.041788,0.143242
3,relu,5,relu,-0.035247,0.000219,0.039448,0.041205,0.154189
3,relu,5,tanh,-0.050329,-0.012249,0.031493,0.053234,0.166416
3,relu,6,selu,-0.041955,-0.003605,0.034516,0.049401,0.158317
3,relu,6,relu,-0.040173,-0.001438,0.042711,0.043910,0.160072
3,relu,6,tanh,-0.034756,0.001908,0.040873,0.035324,0.133074
3,relu,7,selu,-0.040569,-0.001407,0.041112,0.051469,0.172489
3,relu,7,relu,-0.033768,0.000662,0.038970,0.038395,0.136869
3,relu,7,tanh,-0.038267,0.002733,0.042138,0.042833,0.140427
3,relu,8,selu,-0.046937,-0.004006,0.040708,0.051844,0.188919
3,relu,8,relu,-0.035362,0.001585,0.043194,0.039743,0.142920
3,relu,8,tanh,-0.047499,-0.002127,0.044167,0.048434,0.163167
3,tanh,,,-0.039541,0.000440,0.044758,0.041258,0.152086
3,tanh,3,selu,-0.044095,0.002319,0.048321,0.050845,0.197505
3,tanh,3,relu,-0.034164,0.000855,0.047710,0.037660,0.149576
3,tanh,3,tanh,-0.050823,0.000444,0.060649,0.057115,0.195410
3,tanh,4,selu,-0.042228,-0.001246,0.048900,0.042600,0.166288
3,tanh,4,relu,-0.031007,0.002965,0.043088,0.037145,0.141585
3,tanh,4,tanh,-0.044775,0.002048,0.056687,0.050154,0.178648
3,tanh,5,selu,-0.034707,0.004069,0.051359,0.044822,0.165464
3,tanh,5,relu,-0.040046,0.001331,0.050114,0.042802,0.170820
3,tanh,5,tanh,-0.046945,0.005473,0.075593,0.057703,0.232122
3,tanh,6,selu,-0.046457,-0.001284,0.047025,0.056814,0.181021
3,tanh,6,relu,-0.040627,-0.001936,0.043974,0.039774,0.151736
3,tanh,6,tanh,-0.054500,-0.007107,0.051835,0.050511,0.190180
3,tanh,7,selu,-0.034253,0.005676,0.053134,0.045213,0.166441
3,tanh,7,relu,-0.032614,0.001599,0.046790,0.040825,0.154083
