num_neurons1,activation_function1,num_neurons2,activation_function2,min_absolute_error,mean_absolute_error,max_absolute_error,mean_relative_error,max_relative_error
3,selu,,,-0.028803,-0.000216,0.028127,0.085824,0.332615
3,selu,3,selu,-0.027490,0.000263,0.028983,0.086363,0.333568
3,selu,3,relu,-0.030165,-0.002172,0.025127,0.089010,0.328049
3,selu,3,tanh,-0.028096,-0.000783,0.024829,0.086730,0.318412
3,selu,4,selu,-0.025558,0.000602,0.025071,0.084694,0.309551
3,selu,4,relu,-0.027281,0.000291,0.026001,0.083610,0.317646
3,selu,4,tanh,-0.035424,-0.002966,0.023293,0.095774,0.396434
3,selu,5,selu,-0.031806,0.000064,0.026656,0.090901,0.358163
3,selu,5,relu,-0.025294,0.000730,0.024626,0.085183,0.316225
3,selu,5,tanh,-0.028944,0.001819,0.030714,0.094142,0.345241
3,selu,6,selu,-0.027194,-0.000511,0.022181,0.082710,0.300700
3,selu,6,relu,-0.026236,0.000799,0.026015,0.076163,0.306302
3,selu,6,tanh,-0.028837,0.000970,0.029207,0.094377,0.366900
3,selu,7,selu,-0.027251,-0.000956,0.022496,0.085122,0.296287
3,selu,7,relu,-0.026176,0.001689,0.029569,0.083897,0.327760
3,selu,7,tanh,-0.028573,0.001048,0.029851,0.095648,0.338908
3,selu,8,selu,-0.031582,-0.000981,0.024357,0.087283,0.352636
3,selu,8,relu,-0.029023,0.000844,0.027558,0.082719,0.329041
3,selu,8,tanh,-0.028650,-0.001865,0.027000,0.096923,0.330502
3,relu,,,-0.028506,-0.001491,0.023198,0.090423,0.314099
3,relu,3,selu,-0.029024,0.001170,0.026170,0.092402,0.328146
3,relu,3,relu,-0.209010,-0.000725,0.235389,1.016600,2.402060
3,relu,3,tanh,-0.030845,-0.001805,0.022763,0.091739,0.339820
3,relu,4,selu,-0.029087,0.000431,0.025256,0.081311,0.320935
3,relu,4,relu,-0.024593,0.001332,0.025709,0.089971,0.317493
3,relu,4,tanh,-0.028499,0.001296,0.026028,0.095986,0.348036
3,relu,5,selu,-0.025059,0.001230,0.025515,0.085255,0.291947
3,relu,5,relu,-0.025620,0.003864,0.029280,0.104623,0.327675
3,relu,5,tanh,-0.028271,0.000430,0.026449,0.099291,0.359124
3,relu,6,selu,-0.024386,0.001736,0.027736,0.102992,0.355754
3,relu,6,relu,-0.024295,0.002137,0.029892,0.095720,0.362145
3,relu,6,tanh,-0.023391,0.004045,0.029596,0.093671,0.322753
3,relu,7,selu,-0.029761,-0.001845,0.021129,0.087343,0.334109
3,relu,7,relu,-0.021795,0.002793,0.028803,0.098347,0.318111
3,relu,7,tanh,-0.031202,0.001774,0.030491,0.094972,0.348276
3,relu,8,selu,-0.031865,0.000031,0.024948,0.092366,0.361350
3,relu,8,relu,-0.032013,-0.000975,0.022885,0.093250,0.351344
3,relu,8,tanh,-0.030093,0.000596,0.029358,0.098189,0.384265
3,tanh,,,-0.028035,0.000152,0.027454,0.093491,0.339976
3,tanh,3,selu,-0.025961,0.002375,0.029082,0.096756,0.338405
3,tanh,3,relu,-0.029500,-0.001885,0.024994,0.089468,0.325136
3,tanh,3,tanh,-0.029123,0.000718,0.031310,0.102271,0.357357
3,tanh,4,selu,-0.029506,0.001355,0.028244,0.086821,0.334391
3,tanh,4,relu,-0.028915,0.001174,0.026803,0.086524,0.351598
3,tanh,4,tanh,-0.032111,0.001707,0.032010,0.103082,0.395777
3,tanh,5,selu,-0.032853,0.000141,0.026143,0.088931,0.363833
3,tanh,5,relu,-0.028473,0.000857,0.025877,0.085392,0.320580
3,tanh,5,tanh,-0.029599,-0.001327,0.026864,0.095614,0.346417
3,tanh,6,selu,-0.030838,0.000906,0.029707,0.093171,0.340723
3,tanh,6,relu,-0.029126,-0.000051,0.028690,0.088175,0.327198
3,tanh,6,tanh,-0.031652,0.000150,0.029729,0.095646,0.380887
3,tanh,7,selu,-0.031414,-0.003017,0.023663,0.092343,0.336088
3,tanh,7,relu,-0.024089,0.002260,0.027280,0.086181,0.315707
3,tanh,7,tanh,-0.028501,0.000160,0.031388,0.097471,0.347565
3,tanh,8,selu,-0.029926,-0.001318,0.025717,0.091665,0.329602
3,tanh,8,relu,-0.029778,-0.000783,0.025273,0.083423,0.332872
3,tanh,8,tanh,-0.030516,0.000946,0.029426,0.097839,0.367028
4,selu,,,-0.033321,-0.000973,0.025679,0.090594,0.373684
4,selu,3,selu,-0.031047,-0.000941,0.026102,0.092750,0.342962
4,selu,3,relu,-0.031188,-0.001014,0.026049,0.084770,0.353210
4,selu,3,tanh,-0.028447,-0.000430,0.026146,0.087695,0.346236
4,selu,4,selu,-0.027899,0.000304,0.023202,0.079997,0.311490
4,selu,4,relu,-0.025647,-0.000607,0.023872,0.088079,0.309638
4,selu,4,tanh,-0.030110,-0.000660,0.026249,0.091766,0.348165
4,selu,5,selu,-0.028566,0.000664,0.026058,0.086648,0.315783
4,selu,5,relu,-0.027947,0.002342,0.027273,0.081149,0.311731
4,selu,5,tanh,-0.029014,-0.001545,0.023076,0.089036,0.320179
4,selu,6,selu,-0.029825,0.001046,0.027412,0.085860,0.337079
4,selu,6,relu,-0.031074,-0.000427,0.024614,0.082645,0.346528
4,selu,6,tanh,-0.027861,-0.000479,0.027155,0.090948,0.330089
4,selu,7,selu,-0.027344,0.000127,0.025614,0.086332,0.310357
4,selu,7,relu,-0.028445,0.001059,0.026686,0.082427,0.318322
4,selu,7,tanh,-0.027826,0.000079,0.026956,0.090086,0.336761
4,selu,8,selu,-0.029439,0.000669,0.026350,0.088735,0.353560
4,selu,8,relu,-0.027738,-0.002432,0.021804,0.078378,0.300136
4,selu,8,tanh,-0.030699,0.000842,0.029155,0.093627,0.360502
4,relu,,,-0.027304,0.000248,0.024248,0.084833,0.304416
4,relu,3,selu,-0.029210,0.001598,0.025283,0.082711,0.343598
4,relu,3,relu,-0.022784,0.001079,0.027528,0.092670,0.313466
4,relu,3,tanh,-0.025094,0.003021,0.030748,0.100151,0.360436
4,relu,4,selu,-0.026375,0.002253,0.026351,0.088286,0.337813
4,relu,4,relu,-0.025558,0.001139,0.025425,0.089518,0.312226
4,relu,4,tanh,-0.029314,-0.000296,0.026053,0.092772,0.355341
4,relu,5,selu,-0.025985,0.002988,0.028121,0.086811,0.330669
4,relu,5,relu,-0.027502,-0.000789,0.022542,0.083080,0.317228
4,relu,5,tanh,-0.028167,-0.000198,0.026983,0.093353,0.316001
4,relu,6,selu,-0.029085,0.000137,0.026008,0.084727,0.339622
4,relu,6,relu,-0.022676,0.002204,0.026358,0.097324,0.327871
4,relu,6,tanh,-0.025733,0.002539,0.029139,0.092694,0.335338
4,relu,7,selu,-0.028036,-0.001242,0.023034,0.094679,0.338767
4,relu,7,relu,-0.026628,0.000394,0.024482,0.082769,0.301005
4,relu,7,tanh,-0.029015,-0.000601,0.025915,0.091020,0.344235
4,relu,8,selu,-0.030817,-0.000178,0.025641,0.093389,0.361731
4,relu,8,relu,-0.028383,0.000369,0.023987,0.085561,0.324865
4,relu,8,tanh,-0.029054,-0.001525,0.024112,0.089915,0.339082
4,tanh,,,-0.027413,0.001102,0.028078,0.089706,0.319027
4,tanh,3,selu,-0.030748,0.001842,0.031068,0.095812,0.361667
4,tanh,3,relu,-0.023416,0.003232,0.030213,0.094347,0.326058
4,tanh,3,tanh,-0.026619,0.002626,0.033567,0.093364,0.360478
4,tanh,4,selu,-0.028388,0.000102,0.028737,0.095965,0.350759
4,tanh,4,relu,-0.027177,0.001179,0.025523,0.083584,0.304016
4,tanh,4,tanh,-0.029983,-0.000523,0.033143,0.095678,0.356737
4,tanh,5,selu,-0.028136,-0.001644,0.023574,0.086079,0.310190
4,tanh,5,relu,-0.026730,-0.000085,0.026463,0.085572,0.299634
4,tanh,5,tanh,-0.026532,0.002375,0.033892,0.101488,0.369074
4,tanh,6,selu,-0.024812,0.001905,0.025963,0.086118,0.285422
4,tanh,6,relu,-0.029670,0.000169,0.023200,0.085885,0.331052
4,tanh,6,tanh,-0.029702,0.001534,0.031493,0.107772,0.373092
4,tanh,7,selu,-0.025955,-0.000486,0.024874,0.089197,0.304383
4,tanh,7,relu,-0.030280,-0.000544,0.026514,0.088888,0.336410
4,tanh,7,tanh,-0.030558,-0.000376,0.027748,0.096842,0.349431
4,tanh,8,selu,-0.027354,-0.000125,0.026297,0.090146,0.325937
4,tanh,8,relu,-0.031540,-0.001560,0.023977,0.083212,0.352214
4,tanh,8,tanh,-0.029183,0.000096,0.030838,0.101493,0.370137
5,selu,,,-0.030953,-0.000256,0.024530,0.086662,0.345669
5,selu,3,selu,-0.032717,-0.001667,0.024615,0.092753,0.371833
5,selu,3,relu,-0.026763,-0.000348,0.024140,0.081596,0.301043
5,selu,3,tanh,-0.027861,-0.000808,0.022995,0.093101,0.338011
5,selu,4,selu,-0.029100,-0.000213,0.023790,0.080764,0.325089
5,selu,4,relu,-0.029684,-0.001197,0.023021,0.082525,0.345557
5,selu,4,tanh,-0.029424,0.001471,0.027937,0.092275,0.331667
5,selu,5,selu,-0.028664,-0.000558,0.023886,0.081826,0.313901
5,selu,5,relu,-0.029373,0.001530,0.026586,0.084427,0.342967
5,selu,5,tanh,-0.028265,-0.001100,0.023896,0.094899,0.310152
