num_neurons1,activation_function1,num_neurons2,activation_function2,min_absolute_error,mean_absolute_error,max_absolute_error,mean_relative_error,max_relative_error
4,selu,,,-0.032156,0.000040,0.033683,0.148065,0.674215
4,selu,3,selu,-0.033129,0.000565,0.033697,0.137076,0.690667
4,selu,3,relu,-0.031688,-0.000476,0.035147,0.134757,0.705861
4,selu,3,tanh,-0.031417,0.001286,0.035694,0.134776,0.708420
4,selu,4,selu,-0.033308,-0.000111,0.034535,0.137727,0.713386
4,selu,4,relu,-0.031609,-0.000393,0.032954,0.125166,0.670824
4,selu,4,tanh,-0.035425,-0.000245,0.033865,0.140449,0.724852
4,selu,5,selu,-0.033262,-0.000123,0.034140,0.137084,0.685446
4,selu,5,relu,-0.031481,-0.001222,0.032133,0.130063,0.640829
4,selu,5,tanh,-0.035631,0.000480,0.036911,0.148247,0.766782
4,selu,6,selu,-0.032647,0.000333,0.034107,0.129927,0.680010
4,selu,6,relu,-0.030941,-0.000089,0.034212,0.125261,0.668392
4,selu,6,tanh,-0.031859,0.000655,0.035117,0.140747,0.689840
4,selu,7,selu,-0.031167,0.000593,0.034528,0.131412,0.685379
4,selu,7,relu,-0.031213,0.000726,0.035838,0.125388,0.711894
4,selu,7,tanh,-0.034629,0.000698,0.038195,0.135845,0.752413
4,selu,8,selu,-0.033744,-0.000406,0.034190,0.133980,0.690061
4,selu,8,relu,-0.031678,-0.000529,0.031945,0.130960,0.649366
4,selu,8,tanh,-0.032836,0.000096,0.035652,0.132919,0.693126
4,relu,,,-0.029552,0.000467,0.035608,0.136237,0.693872
4,relu,3,selu,-0.035467,0.000397,0.033869,0.136350,0.724818
4,relu,3,relu,-0.072855,0.000196,0.075797,0.465687,1.493273
4,relu,3,tanh,-0.031244,0.000303,0.034484,0.144371,0.681900
4,relu,4,selu,-0.030825,0.001014,0.036654,0.129819,0.703460
4,relu,4,relu,-0.071864,-0.000797,0.076747,0.475959,1.510347
4,relu,4,tanh,-0.030807,-0.000359,0.033237,0.147147,0.693087
4,relu,5,selu,-0.032152,-0.000030,0.036431,0.130546,0.718271
4,relu,5,relu,-0.030749,-0.000822,0.034031,0.147953,0.664108
4,relu,5,tanh,-0.036872,-0.001222,0.032730,0.148528,0.762935
4,relu,6,selu,-0.034607,-0.000454,0.034341,0.134742,0.715786
4,relu,6,relu,-0.033908,0.000812,0.035735,0.133640,0.708576
4,relu,6,tanh,-0.032454,0.001165,0.035015,0.150278,0.726939
4,relu,7,selu,-0.031595,0.000557,0.035210,0.127665,0.681240
4,relu,7,relu,-0.030064,-0.000366,0.035608,0.142080,0.680067
4,relu,7,tanh,-0.032233,0.001879,0.037429,0.153123,0.730470
4,relu,8,selu,-0.034823,-0.000517,0.034950,0.133297,0.742300
4,relu,8,relu,-0.033666,-0.000532,0.034884,0.130667,0.685517
4,relu,8,tanh,-0.036418,-0.001108,0.033273,0.135593,0.745883
4,tanh,,,-0.035035,0.000122,0.035825,0.134704,0.707448
4,tanh,3,selu,-0.034400,0.001663,0.036427,0.138800,0.722342
4,tanh,3,relu,-0.034776,0.000967,0.035742,0.131947,0.714581
4,tanh,3,tanh,-0.034582,-0.000218,0.036223,0.136866,0.734571
4,tanh,4,selu,-0.033588,-0.000477,0.032290,0.130345,0.678109
4,tanh,4,relu,-0.030730,0.000418,0.034761,0.128998,0.686439
4,tanh,4,tanh,-0.035975,0.000118,0.034842,0.139085,0.740755
4,tanh,5,selu,-0.035136,-0.001297,0.032799,0.136715,0.709950
4,tanh,5,relu,-0.034521,-0.000193,0.032334,0.127328,0.692736
4,tanh,5,tanh,-0.033029,0.000872,0.037761,0.139844,0.738296
4,tanh,6,selu,-0.033420,-0.000120,0.033904,0.133251,0.698624
4,tanh,6,relu,-0.035681,-0.000531,0.032593,0.127404,0.709299
4,tanh,6,tanh,-0.037631,-0.001268,0.034123,0.149084,0.768279
4,tanh,7,selu,-0.033360,0.000130,0.034135,0.137590,0.701240
4,tanh,7,relu,-0.032028,0.000094,0.035136,0.127828,0.707270
4,tanh,7,tanh,-0.038156,-0.001132,0.033385,0.139919,0.758542
4,tanh,8,selu,-0.032113,0.001553,0.036172,0.135085,0.708450
4,tanh,8,relu,-0.034975,-0.000655,0.033790,0.127893,0.706540
4,tanh,8,tanh,-0.035267,0.000559,0.036085,0.138147,0.721053
5,selu,,,-0.032224,-0.000356,0.032775,0.137349,0.662375
5,selu,3,selu,-0.033501,0.000695,0.033445,0.135269,0.682164
5,selu,3,relu,-0.030303,0.000332,0.035660,0.131949,0.712173
5,selu,3,tanh,-0.032759,0.000120,0.034226,0.129202,0.695820
5,selu,4,selu,-0.032354,0.000518,0.034987,0.131050,0.686990
5,selu,4,relu,-0.029101,0.000717,0.036536,0.126239,0.710625
5,selu,4,tanh,-0.033534,-0.000540,0.033591,0.135224,0.730902
5,selu,5,selu,-0.033890,0.000720,0.035831,0.137690,0.705692
5,selu,5,relu,-0.029814,-0.000859,0.031464,0.122770,0.618421
5,selu,5,tanh,-0.032623,-0.000700,0.031050,0.133279,0.670525
