num_neurons1,activation_function1,num_neurons2,activation_function2,min_absolute_error,mean_absolute_error,max_absolute_error,mean_relative_error,max_relative_error
3,selu,,,-0.031031,0.000296,0.032315,0.148413,0.632815
3,selu,3,selu,-0.031673,0.000457,0.034616,0.143587,0.685845
3,selu,3,relu,-0.033089,-0.001117,0.032090,0.144705,0.704611
3,selu,3,tanh,-0.033627,-0.000540,0.034500,0.137084,0.700957
3,selu,4,selu,-0.033528,0.000250,0.032515,0.136833,0.669227
3,selu,4,relu,-0.030599,-0.000101,0.033821,0.134428,0.670461
3,selu,4,tanh,-0.030671,0.001362,0.033983,0.146231,0.682871
3,selu,5,selu,-0.034056,0.000265,0.034172,0.138247,0.695783
3,selu,5,relu,-0.031114,-0.000852,0.032984,0.135150,0.674511
3,selu,5,tanh,-0.034206,-0.000622,0.032351,0.144009,0.693413
3,selu,6,selu,-0.032349,-0.000585,0.032650,0.140331,0.675332
3,selu,6,relu,-0.033866,-0.000546,0.033478,0.128743,0.679369
3,selu,6,tanh,-0.033731,-0.000216,0.035443,0.144320,0.717387
3,selu,7,selu,-0.032137,0.000049,0.033807,0.134325,0.673695
3,selu,7,relu,-0.031361,0.000590,0.036219,0.124984,0.696977
3,selu,7,tanh,-0.035714,-0.000257,0.033428,0.137746,0.710302
3,selu,8,selu,-0.033195,0.000043,0.032902,0.130600,0.674838
3,selu,8,relu,-0.031451,-0.000007,0.035280,0.122302,0.688928
3,selu,8,tanh,-0.033647,0.000280,0.034198,0.144676,0.695660
3,relu,,,-0.031843,0.000645,0.034541,0.155991,0.693761
3,relu,3,selu,-0.032962,0.000585,0.038244,0.146749,0.749423
3,relu,3,relu,-0.031538,0.000431,0.033861,0.153639,0.687574
3,relu,3,tanh,-0.034007,-0.000495,0.032288,0.146946,0.695335
3,relu,4,selu,-0.032700,0.001036,0.034949,0.135905,0.693953
3,relu,4,relu,-0.071536,-0.000977,0.072646,0.486092,1.465925
3,relu,4,tanh,-0.032616,0.001323,0.034979,0.156490,0.741968
3,relu,5,selu,-0.030985,0.000808,0.033526,0.136814,0.669904
3,relu,5,relu,-0.033007,-0.001476,0.032096,0.144033,0.689111
3,relu,5,tanh,-0.033355,0.000226,0.034286,0.141591,0.681691
3,relu,6,selu,-0.035607,-0.001703,0.031949,0.140003,0.707838
3,relu,6,relu,-0.029916,0.001368,0.037341,0.140773,0.720018
3,relu,6,tanh,-0.028402,0.001732,0.036230,0.151956,0.718229
3,relu,7,selu,-0.032847,0.001360,0.035842,0.140015,0.728801
3,relu,7,relu,-0.032426,-0.000453,0.032613,0.151968,0.674074
3,relu,7,tanh,-0.033246,0.000251,0.035288,0.155309,0.721929
3,relu,8,selu,-0.032371,-0.000883,0.033983,0.138193,0.695996
3,relu,8,relu,-0.030921,0.000783,0.036081,0.141374,0.719512
3,relu,8,tanh,-0.033144,-0.000923,0.032480,0.144972,0.685101
3,tanh,,,-0.035892,-0.000124,0.034918,0.138205,0.729114
3,tanh,3,selu,-0.034205,0.000124,0.035168,0.133541,0.699813
3,tanh,3,relu,-0.033021,-0.000041,0.034036,0.140905,0.691835
3,tanh,3,tanh,-0.035887,0.000344,0.036354,0.143134,0.749975
3,tanh,4,selu,-0.034364,0.000032,0.034933,0.135216,0.704874
3,tanh,4,relu,-0.034096,-0.000398,0.033920,0.133028,0.719126
3,tanh,4,tanh,-0.035363,-0.000146,0.035509,0.140066,0.729560
3,tanh,5,selu,-0.036494,-0.001594,0.032255,0.141839,0.747130
3,tanh,5,relu,-0.032665,0.001586,0.036636,0.136836,0.728030
3,tanh,5,tanh,-0.036054,0.000223,0.036648,0.141397,0.746464
3,tanh,6,selu,-0.033286,0.000744,0.035280,0.132822,0.722347
3,tanh,6,relu,-0.032029,0.001000,0.035682,0.127190,0.714968
3,tanh,6,tanh,-0.035996,-0.000407,0.035840,0.145166,0.748181
3,tanh,7,selu,-0.035267,0.000354,0.036350,0.137498,0.747550
3,tanh,7,relu,-0.033168,0.000075,0.033809,0.126577,0.697014
3,tanh,7,tanh,-0.036048,-0.000975,0.033984,0.143069,0.728827
3,tanh,8,selu,-0.037113,-0.001466,0.032630,0.145966,0.749183
3,tanh,8,relu,-0.031429,0.001734,0.036609,0.131217,0.720380
3,tanh,8,tanh,-0.034769,-0.000018,0.035887,0.139620,0.726928
