x,y,k_rock,Cp_rock,rho_rock,T_surface,q_geothermal
25502497.20459999889,6664776.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.02981615000,40.65495682000
25502597.20459999889,6664776.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03283834000,40.65790176000
25502497.20459999889,6664876.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03173113000,40.65666199000
25502597.20459999889,6664876.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03423834000,40.65896606000
25502697.20459999889,6664876.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03676510000,40.66117859000
25502797.20459999889,6664876.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03956509000,40.66348267000
25502497.20459999889,6664976.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03386354000,40.65829849000
25502597.20459999889,6664976.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03665781000,40.66061783000
25502697.20459999889,6664976.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03944969000,40.66293716000
25502797.20459999889,6664976.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04216623000,40.66517639000
25502397.20459999889,6665076.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03392744000,40.65806961000
25502497.20459999889,6665076.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03643894000,40.65993500000
25502597.20459999889,6665076.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03941298000,40.66219711000
25502697.20459999889,6665076.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04256010000,40.66460037000
25502797.20459999889,6665076.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04545069000,40.66698837000
25502897.20459999889,6665076.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04825020000,40.66936493000
25502397.20459999889,6665176.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03629112000,40.65922546000
25502497.20459999889,6665176.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.03968906000,40.66157532000
25502597.20459999889,6665176.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04296684000,40.66389847000
25502697.20459999889,6665176.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04611969000,40.66621017000
25502797.20459999889,6665176.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04930639000,40.66867065000
25502897.20459999889,6665176.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.05219936000,40.67123795000
25502997.20459999889,6665176.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.05509138000,40.67372131000
25502397.20459999889,6665276.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04030657000,40.66085052000
25502497.20459999889,6665276.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04377985000,40.66326904000
25502597.20459999889,6665276.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04715443000,40.66559982000
25502697.20459999889,6665276.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.05046129000,40.66792297000
25502797.20459999889,6665276.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.05388308000,40.67038345000
25502897.20459999889,6665276.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.05692434000,40.67294312000
25502997.20459999889,6665276.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.05990982000,40.67563629000
25503097.20459999889,6665276.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.06276655000,40.67832565000
25503197.20459999889,6665276.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.06623507000,40.68075943000
25502397.20459999889,6665376.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04489470000,40.66247940000
25502497.20459999889,6665376.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04822826000,40.66485214000
25502597.20459999889,6665376.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.05167675000,40.66718292000
25502697.20459999889,6665376.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.05514145000,40.66951752000
25502797.20459999889,6665376.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.05882835000,40.67199326000
25502897.20459999889,6665376.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.06220245000,40.67457199000
25502997.20459999889,6665376.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.06580782000,40.67734146000
25503097.20459999889,6665376.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.06918478000,40.68005753000
25503197.20459999889,6665376.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.07295990000,40.68276215000
25503297.20459999889,6665376.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.07749319000,40.68546295000
25503397.20459999889,6665376.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.08292007000,40.68816376000
25503497.20459999889,6665376.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.08721495000,40.69034576000
25502397.20459999889,6665476.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.04980803000,40.66448975000
25502497.20459999889,6665476.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.05306053000,40.66649628000
25502597.20459999889,6665476.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.05670929000,40.66888809000
25502697.20459999889,6665476.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.06036139000,40.67123413000
25502797.20459999889,6665476.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.06433916000,40.67373276000
25502897.20459999889,6665476.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.06808758000,40.67633438000
25502997.20459999889,6665476.05109000020,3.10000000000,723.00000000000,2794.00000000000,7.07219267000,40.67911911000
